original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"А A B C. Obl. 4to. 114x84, linen 38. 6d. net, ed. de luxe 5s. net; swd. is. net. ("" Geographia' Brit. picture bks.) ..GEOGRAPHIA, Dec. 16",1,9,А,,A B C.,Obl. 4to.,"114x84, linen 38. 6d. net, ed. de luxe 5s. net; swd. is. net. ("" Geographia' Brit. picture bks.) ..",GEOGRAPHIA,Dec. 16,False,1916
"A B C guide for attested and unattested. 32mo. 4*X3, swd. id.............LARBY, June 16",1,9,,,A B C guide for attested and unattested.,32mo.,"4*X3, swd. id.............",LARBY,June 16,False,1916
"A B C guide to London, 1916. Cr. 8vo. 64 x 48, swd. 4d. .LARBY, Aug. 16",1,9,,,"A B C guide to London, 1916.",Cr. 8vo.,"64 x 48, swd. 4d. .",LARBY,Aug. 16,False,1916
"A B C of banking (The). By “L. S. D.” Cr. 8vo. 74 X 5, pp. 150, 28. 6d. net BARNICOTT & P., Jan. 16",1,9,,,A B C of banking (The). By “L. S. D.”,Cr. 8vo.,"74 X 5, pp. 150, 28. 6d. net",BARNICOTT & PEARCE,Jan. 16,False,1916
"""A. L."" Bright story readers. Grade 3. Cr. 8vo. 71 x 57, pp. 63, swd. 3d. E. J. ARNOLD, July 16",1,9,,,"""A. L."" Bright story readers. Grade 3.",Cr. 8vo.,"71 x 57, pp. 63, swd. 3d.",E. ARNOLD,July 16,False,1916
"""A. L."" Bright story readers. No. 116, The Nightingale and the bottle neck. Cr. 8vo. 77 x 51, pp. 32, swd, 2d. E. J. ARNOLD, Aug. 16",1,9,,“A. L.”,"Bright story readers. No. 116, The Nightingale and the bottle neck.",Cr. 8vo.,"77 x 51, pp. 32, swd, 2d.",E. ARNOLD,Aug. 16,False,1916
"Abbot (Charles Greeley)-Arequipa pyrhelio- metry. 8vo. 98 x64, pp. 24, is. net. (Smith- sonian Coll.) .WESLEY, Oct. 16",1,9,,Abbot (Charles Greeley),Arequipa pyrhelio- metry.,8vo.,"98 x64, pp. 24, is. net. (Smith- sonian Coll.)",WESLEY,Oct. 16,False,1916
"Abbot (Charles Greeley) and others On the distribution of radiation over the sun's disk and new evidences of the solar variability. ipl. 8vo. 93 X64, pp. 24, swd. is. 6d. net. (Smith- sonian Coll.) .. WESLEY, Oct. 16",1,9,,Abbot (Charles Greeley) and others,On the distribution of radiation over the sun's disk and new evidences of the solar variability.,ipl. 8vo.,"93 X64, pp. 24, swd. is. 6d. net. (Smith- sonian Coll.)",WESLEY,Oct. 16,False,1916
"Abbott (Edwin A.)-Diatessarica : Part 10, The Fourfold gospel ; Section 4. The Law of the new kingdom. 8vo. 9 5, 125. 6d. net CAMB. UNIV. PR., Mar. 16",1,9,,Abbott (Edwin A.),"Diatessarica : Part 10, The Fourfold gospel ; Section 4. The Law of the new kingdom.",8vo.,"9 5, 125. 6d. net",CAMB. UNIV. PR.,Mar. 16,False,1916
"Abbott (James Francis)- Japanese expansion and American policies. Cr. 8vo. 78 x 58, 6s. 6d. net (N. Y.) MACMILLAN, Feb. 16",1,9,,Abbott (James Francis),Japanese expansion and American policies.,Cr. 8vo.,"78 x 58, 6s. 6d. net (N. Y.)",MACMILLAN,Feb. 16,False,1916
"Abbott (Lyman)--Reminiscences. Illus. 8vo. 9x6, pp. 528, 155. net.. CONSTABLE, Feb. 16",1,9,,Abbott (Lyman),Reminiscences. Illus.,8vo.,"9x6, pp. 528, 155. net..",CONSTABLE,Feb. 16,False,1916
"Abbott-Brown (C., Maj.)---How to do it: the A.S.C. subaltern's and N.C.O.'s vade mecum ; also applic. for cavalry, artillery, engineers ard infantry. 44 X 31, pp. 97, is. net F. GROOM, Aug. 16",1,9,,"Abbott-Brown (C., Maj.)","How to do it: the A.S.C. subaltern's and N.C.O.'s vade mecum ; also applic. for cavalry, artillery, engineers ard infantry.",,"44 X 31, pp. 97, is. net",F. GROOM,Aug. 16,False,1916
"Abdullah (Achmed)-The Red stain: a story of mystery and crime. Cr. 8vo. 74 X 5, pp. 309, 6s. SIMPKIN, Sep. 16",1,9,,Abdullah (Achmed),The Red stain: a story of mystery and crime.,Cr. 8vo.,"74 X 5, pp. 309, 6s.",SIMPKIN,Sep. 16,False,1916
