entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Abbot (C. L., Mrs.)-The Wanderer; or, Leaves from Life Story of a Physician. Cr. 8vo. 7 × 43, pp. 260, 3s. 6d. ..........J. CLARKE, Mar. 05",Abbot,"C. L., Mrs.","The Wanderer; or, Leaves from Life Story of a Physician",J. CLARKE,3s. 6d.,8vo.,"Abbot (C. L., Mrs.)-The Wanderer; or, Leaves from Life Story of a Physician. Cr. 8vo. 7 × 43, pp. 260, 3s. 6d. ..........J. CLARKE, Mar. 05","C. L., Mrs. Abbot","['Abbot (C. L., Mrs.)']",,Mar. 05,1905,
"Abbot (H. L.)-Problems of the Panama Canal. Cr. 8vo. 68. 6d. net...........MACMILLAN, May 05",Abbot,H. L.,Problems of the Panama Canal,MACMILLAN,6d.,8vo.,"Abbot (H. L.)-Problems of the Panama Canal. Cr. 8vo. 68. 6d. net...........MACMILLAN, May 05",H. L. Abbot,['Abbot (H. L.)'],,May 05,1905,net
"Abbotsford. Painted by William Smith, Junr., Described by W. S. Crockett. With 20 full-page illustrations in colour. 8vo. 9 x 64, pp. 236, 78. 6d. ...BLACK, July 05",,,Abbotsford,BLACK,6d.,8vo.,"Abbotsford. Painted by William Smith, Junr., Described by W. S. Crockett. With 20 full-page illustrations in colour. 8vo. 9 x 64, pp. 236, 78. 6d. ...BLACK, July 05",,,,July 05,1905,
"Abbott (E. A.)-Johannine Vocabulary. Com- parison of Words of Fourth Gospel with those of the Three. 8vo. 9 × 53, pp. 382, 18s. 6d. net BLACK, June 05",Abbott,E. A.,Johannine Vocabulary,BLACK,18s. 6d.,8vo.,"Abbott (E. A.)-Johannine Vocabulary. Com- parison of Words of Fourth Gospel with those of the Three. 8vo. 9 × 53, pp. 382, 18s. 6d. net BLACK, June 05",E. A. Abbott,['Abbott (E. A.)'],,June 05,1905,net
"Abbott (J. H. M.)-An Outlander in England. Impressions of an Australian Abroad. Cr. 8vo. 7 x 5, pp. 810, 6s. ....METHUEN, Nov. 05",Abbott,J. H. M.,An Outlander in England,METHUEN,6s.,8vo.,"Abbott (J. H. M.)-An Outlander in England. Impressions of an Australian Abroad. Cr. 8vo. 7 x 5, pp. 810, 6s. ....METHUEN, Nov. 05",J. H. M. Abbott,['Abbott (J. H. M.)'],,Nov. 05,1905,
"Abbott (L.)-Christian Ministry. Extra cr. 8vo. 8×5, pp. 338, 5s. net......... CONSTABLE, July 05",Abbott,L.,Christian Ministry,CONSTABLE,5s.,8vo.,"Abbott (L.)-Christian Ministry. Extra cr. 8vo. 8×5, pp. 338, 5s. net......... CONSTABLE, July 05",L. Abbott,['Abbott (L.)'],,July 05,1905,net
"Abbott (T. K.)-Catalogue of Fifteenth-Century Books in Library of Trinity College, Dublin, and in Marsh's Library, Dublin, with a few from other Collections. 8vo. 10s. 6d. net net LONGMANS, Oct. 05",Abbott,T. K.,"Catalogue of Fifteenth-Century Books in Library of Trinity College, Dublin, and in Marsh's Library, Dublin, with a few from other Collections",LONGMANS,,8vo.,"Abbott (T. K.)-Catalogue of Fifteenth-Century Books in Library of Trinity College, Dublin, and in Marsh's Library, Dublin, with a few from other Collections. 8vo. 10s. 6d. net net LONGMANS, Oct. 05",T. K. Abbott,['Abbott (T. K.)'],,Oct. 05,1905,
"ABC Pocket Atlas-Guide to London. 3rd rev. edit. 12mo. swd. 1s.............G. PHILIP, Aug. 05",,,ABC Pocket Atlas-Guide to London,G. PHILIP,1s.,12mo.,"ABC Pocket Atlas-Guide to London. 3rd rev. edit. 12mo. swd. 1s.............G. PHILIP, Aug. 05",,,,Aug. 05,1905,
"Abele (H.)-Violin and its Story, or History and Construction of Violin. Transl. and adapted from German by Geoffrey Alwyn. Illus. Cr. 8vo. 7×4, pp. 180, 2s. 6d. (Strad Lib.) STRAD, Oct. 05",Abele,H.,"Violin and its Story, or History and Construction of Violin",STRAD,2s. 6d.,8vo.,"Abele (H.)-Violin and its Story, or History and Construction of Violin. Transl. and adapted from German by Geoffrey Alwyn. Illus. Cr. 8vo. 7×4, pp. 180, 2s. 6d. (Strad Lib.) STRAD, Oct. 05",H. Abele,['Abele (H.)'],,Oct. 05,1905,
"Abney (W. de W., Sir)-Instruction in Photo- graphy. 11th edit., rev. and reset throughout. Cr. 8vo. 74 × 41, pp. 676, 7s. 6d. net ILIFFE, Sep. 05",Abney,"W. de W., Sir",Instruction in Photo- graphy,ILIFFE,7s. 6d.,8vo.,"Abney (W. de W., Sir)-Instruction in Photo- graphy. 11th edit., rev. and reset throughout. Cr. 8vo. 74 × 41, pp. 676, 7s. 6d. net ILIFFE, Sep. 05","W. de W., Sir Abney","['Abney (W. de W., Sir)']",,Sep. 05,1905,net
