entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"A. L.-Pupils' Atlas of Physical and Political Geography. 4to. bds. 19. 3d, net E. J. ARNOLD, April 09",,,A. L.-Pupils' Atlas of Physical and Political Geography,E. J. ARNOLD,3d.,0.0125,4to.,"A. L.-Pupils' Atlas of Physical and Political Geography. 4to. bds. 19. 3d, net E. J. ARNOLD, April 09",,,,April 09,net
"A.L.O.E.-The Blacksınith of Boniface Lane. New edit. Cr. 8vo. 71 X5, pp. 190, s. NELSON, Oct. 09",,,A.L.O.E.-The Blacksınith of Boniface Lane,NELSON,,0.0,8vo.,"A.L.O.E.-The Blacksınith of Boniface Lane. New edit. Cr. 8vo. 71 X5, pp. 190, IS. NELSON, Oct. 09",,,,Oct. 09,
"A.L.O.E.-The City of No Cross and Its Famous Physician. By A.L.O.E. Cr. 8vo., pp. 216, s. NELSON, Oct. 09",,,A.L.O.E.-The City of No Cross and Its Famous Physician,NELSON,,0.0,8vo.,"A.L.O.E.-The City of No Cross and Its Famous Physician. By A.L.O.E. Cr. 8vo., pp. 216, IS. NELSON, Oct. 09",,,,Oct. 09,
"Abbey (George) - The Balance of Nature and Modern Conditions of Cultivation ; a Practical Manual of Animal Foes and Friends. Illus. 8vo. 84 X55, pp. 324, 78. 6d. net ROUTLEDGE, Mar. 09",Abbey,George,The Balance of Nature and Modern Conditions of Cultivation ; a Practical Manual of Animal Foes and Friends,ROUTLEDGE,6d.,0.025,8vo.,"Abbey (George) - The Balance of Nature and Modern Conditions of Cultivation ; a Practical Manual of Animal Foes and Friends. Illus. 8vo. 84 X55, pp. 324, 78. 6d. net ROUTLEDGE, Mar. 09",George Abbey,['Abbey (George)'],,Mar. 09,net
"Abbott (Charles C.) ---The Rambles of an 1dler. Cr. 8vo. 73 X5, pp. 320, 5s, net S. PAUL, Oct. 09",Abbott,Charles C.,The Rambles of an,S. PAUL,5s.,0.25,8vo.,"Abbott (Charles C.) ---The Rambles of an Idler. Cr. 8vo. 73 X5, pp. 320, 5s, net S. PAUL, Oct. 09",Charles C. Abbott,['Abbott (Charles C.)'],,Oct. 09,net
"Abbott (Edwin A.)-The Message of the Son of Man. 8vo. 9 X5], pp. 188, 4s. 6d. net BLACK, June 09",Abbott,Edwin A.,The Message of the Son of Man,BLACK,4s. 6d.,0.225,8vo.,"Abbott (Edwin A.)-The Message of the Son of Man. 8vo. 9 X5], pp. 188, 45. 6d. net BLACK, June 09",Edwin A. Abbott,['Abbott (Edwin A.)'],,June 09,net
"Abbott (G. F.) Greece in Evolution. 5s. net ACROSS Abram (A.) --- Social England in the Fifteenth Century: a Study of the Effects of Economic Conditions. Cr. 8vo. 71 x5, pp. 260, 3s. 6d. net ROUTLEDGE, Oct. 09",Abbott,G. F.,Greece in Evolution,ROUTLEDGE,3s. 6d.,0.175,8vo.,"Abbott (G. F.) Greece in Evolution. 55. net ACROSS Abram (A.) --- Social England in the Fifteenth Century: a Study of the Effects of Economic Conditions. Cr. 8vo. 71 x5, pp. 260, 3s. 6d. net ROUTLEDGE, Oct. 09",G. F. Abbott,['Abbott (G. F.)'],,Oct. 09,net
"Academy Architecture and Architectural Review. Vol. 3s. Edit. by Alex. Koch. 4to. 4s. rod. net, swd. 4s. net....... ... SIMPKIN, July on Academy Architecture and Architectural Review Vol. 36. Edit. by Alex. Koch. 4to. 4s. rod. net, swd. 43. net SIMPKIN, Dec. 09",,,Academy Architecture and Architectural Review,SIMPKIN,,0.0,4to.,"Academy Architecture and Architectural Review. Vol. 35. Edit. by Alex. Koch. 4to. 45. rod. net, swd. 4s. net....... ... SIMPKIN, July on Academy Architecture and Architectural Review Vol. 36. Edit. by Alex. Koch. 4to. 45. rod. net, swd. 43. net SIMPKIN, Dec. 09",,,,Dec. 09,
"Accounts, Public, Comınittee : Handbook to the Reports, is. 2d. .WYMAN, Feb. 09",,,"Accounts, Public, Comınittee : Handbook to the Reports, is",WYMAN,2d.,0.008333333333333333,,"Accounts, Public, Comınittee : Handbook to the Reports, is. 2d. .WYMAN, Feb. 09",,,,Feb. 09,
"Accounts (Public) Committee-Reports, Evidence and Appendices, 29. 11d. . . WYMAN, Nov. 09",Accounts,Public,"Committee-Reports, Evidence and Appendices",WYMAN,11d.,0.04583333333333333,,"Accounts (Public) Committee-Reports, Evidence and Appendices, 29. 11d. . . WYMAN, Nov. 09",Public Accounts,['Accounts (Public)'],,Nov. 09,
"Accounts (Public) Committee : Second Report, id. ; Third Report, fd.......WYMAN, May 09",Accounts,Public,"Committee : Second Report, id. ; Third Report, fd",WYMAN,,0.0,,"Accounts (Public) Committee : Second Report, id. ; Third Report, fd.......WYMAN, May 09",Public Accounts,['Accounts (Public)'],,May 09,
"Accounts, Public, Committee : Fourth Report, id. WYMAN, May 09",,,,WYMAN,,0.0,,"Accounts, Public, Committee : Fourth Report, id. WYMAN, May 09",,,,May 09,
"Accounts (Public) Committee of. Fifth Report, id. WYMAN, Sep. 09",Accounts,Public,Committee of,WYMAN,,0.0,,"Accounts (Public) Committee of. Fifth Report, id. WYMAN, Sep. 09",Public Accounts,['Accounts (Public)'],,Sep. 09,
"Accounts, Public, Index, 5d..... WYMAN, May 09",,,"Accounts, Public, Index",WYMAN,5d.,0.020833333333333332,,"Accounts, Public, Index, 5d..... WYMAN, May 09",,,,May 09,
"Ack worth (John)--Life's Working Creed. A Series of Sermons on the Present-day Meaning of the Epistle of St. James. Cr. 8vo. 7 X 5, pp. 256, 2s. 6d. net R. CULLEY, Sep. 09",Ack worth,John,Life's Working Creed,R. CULLEY,2s. 6d.,0.125,8vo.,"Ack worth (John)--Life's Working Creed. A Series of Sermons on the Present-day Meaning of the Epistle of St. James. Cr. 8vo. 7 X 5, pp. 256, 25. 6d. net R. CULLEY, Sep. 09",John Ack worth,['Ack worth (John)'],,Sep. 09,net
"Abbott (G. F.)-Turkey in Transition. Illus. 8vo. 9X5), pp. 378, 12s. 6d. net E. ARNOLD, Oct. 09",Abbott,G. F.,Turkey in Transition,E. ARNOLD,12s. 6d.,0.625,8vo.,"Abbott (G. F.)-Turkey in Transition. Illus. 8vo. 9X5), pp. 378, 12s. 6d. net E. ARNOLD, Oct. 09",G. F. Abbott,['Abbott (G. F.)'],,Oct. 09,net
