entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Abdullah Muhammad Habib-Revelations of the Muslim Seer Al-Sayyid Abdullah Muhammad Habib Effendi. Concerning the Creation and Siderial Universe. 8vo. pp. 48, 3s. 6d. ; swd. 2s. 6d. LUZAC, Oct.06",,,Abdullah Muhammad Habib-Revelations of the Muslim Seer Al-Sayyid Abdullah Muhammad Habib Effendi,LUZAC,2s. 6d.,8vo.,"Abdullah Muhammad Habib-Revelations of the Muslim Seer Al-Sayyid Abdullah Muhammad Habib Effendi. Concerning the Creation and Siderial Universe. 8vo. pp. 48, 3s. 6d. ; swd. 2s. 6d. LUZAC, Oct.06",,,,Oct.06,1906,
"Aberdeen University Finances, Report. 41d. WYMAN, Apr. 06",,,"Aberdeen University Finances, Report",WYMAN,41d.,,"Aberdeen University Finances, Report. 41d. WYMAN, Apr. 06",,,,Apr. 06,1906,
"Aberdeen University: Statistical Report. 1d. WYMAN, Apr. 06",,,Aberdeen University: Statistical Report,WYMAN,1d.,,"Aberdeen University: Statistical Report. 1d. WYMAN, Apr. 06",,,,Apr. 06,1906,
"Abertillery Urban District. Medical Inspector's Report. 8d.. ..WYMAN, Apr. 06",,,Abertillery Urban District,WYMAN,8d.,,"Abertillery Urban District. Medical Inspector's Report. 8d.. ..WYMAN, Apr. 06",,,,Apr. 06,1906,
"Academy Architecture and Architectural Review. Vol. 28. Edit. by Alex. Koch, 190s. Pt. 2. 4to. 48. 10d. net; swd. 4s. net...SIMPKIN, Jan. 06",,,Academy Architecture and Architectural Review,SIMPKIN,4s.,4to.,"Academy Architecture and Architectural Review. Vol. 28. Edit. by Alex. Koch, 1905. Pt. 2. 4to. 48. 10d. net; swd. 4s. net...SIMPKIN, Jan. 06",,,,Jan. 06,1906,net
"Academy Architecture and Architectural Review. Vol. 29. Edit. by Alex. Koch, 1906. 4to. 93 × 71, pp. 148, 4s. 10d. net; swd. 4s. net SIMPKIN, Aug. 06",,,Academy Architecture and Architectural Review,SIMPKIN,4s.,4to.,"Academy Architecture and Architectural Review. Vol. 29. Edit. by Alex. Koch, 1906. 4to. 93 × 71, pp. 148, 4s. 10d. net; swd. 4s. net SIMPKIN, Aug. 06",,,,Aug. 06,1906,net
"Academy Architecture and Architectural Re- view. Vol. 30. Edit. by Alex. Koch, 1906. Part 2. 4to. 4s 10d. net; swd. 4s. net...SIMPKIN, Dec. 06",,,Academy Architecture and Architectural Re- view,SIMPKIN,4s.,4to.,"Academy Architecture and Architectural Re- view. Vol. 30. Edit. by Alex. Koch, 1906. Part 2. 4to. 4s 10d. net; swd. 4s. net...SIMPKIN, Dec. 06",,,,Dec. 06,1906,net
"Accidents, Notice of, Bill. Committee's Report. 14d.............. ..WYMAN, Apr. 06",,,"Accidents, Notice of, Bill",WYMAN,14d.,,"Accidents, Notice of, Bill. Committee's Report. 14d.............. ..WYMAN, Apr. 06",,,,Apr. 06,1906,
"Acorn (The). No. 2. 4to. 2s. 6d. net OFFICE, Feb. 06",,,Acorn (The),OFFICE,2s. 6d.,4to.,"Acorn (The). No. 2. 4to. 2s. 6d. net OFFICE, Feb. 06",,,,Feb. 06,1906,net
"Acreage and Live Stock Returns (Agriculture), 1906. 5d. .WYMAN, Dec. 06",,,Acreage and Live Stock Returns (Agriculture),WYMAN,5d.,,"Acreage and Live Stock Returns (Agriculture), 1906. 5d. .WYMAN, Dec. 06",,,,Dec. 06,1906,
