,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
7,"Abbott (Edwin A.)-Diatessarica : Part 10, The Fourfold gospel ; Section 4. The Law of the new kingdom. 8vo. 9 5, 12s. 6d. net CAMB. UNIV. PR., Mar. 16",Abbott,Edwin A.,Diatessarica : Part,CAMB. UNIV. PR.,12s. 6d.,8vo.,"Abbott (Edwin A.)-Diatessarica : Part 10, The Fourfold gospel ; Section 4. The Law of the new kingdom. 8vo. 9 5, 125. 6d. net CAMB. UNIV. PR., Mar. 16",Edwin A. Abbott,['Abbott (Edwin A.)'],,Mar. 16,net
8,"Abbott (James Francis)- Japanese expansion and American policies. Cr. 8vo. 78 x 58, 6s. 6d. net (N. Y.) MACMILLAN, Feb. 16",Abbott,James Francis,Japanese expansion and American policies,MACMILLAN,6s. 6d.,8vo.,"Abbott (James Francis)- Japanese expansion and American policies. Cr. 8vo. 78 x 58, 6s. 6d. net (N. Y.) MACMILLAN, Feb. 16",James Francis Abbott,['Abbott (James Francis)'],,Feb. 16,net
9,"Abbott (Lyman)--Reminiscences. Illus. 8vo. 9x6, pp. 528, 15s. net.. CONSTABLE, Feb. 16",Abbott,Lyman,Reminiscences,CONSTABLE,15s.,8vo.,"Abbott (Lyman)--Reminiscences. Illus. 8vo. 9x6, pp. 528, 155. net.. CONSTABLE, Feb. 16",Lyman Abbott,['Abbott (Lyman)'],,Feb. 16,net
11,"Abdullah (Achmed)-The Red stain: a story of mystery and crime. Cr. 8vo. 74 X 5, pp. 309, 6s. SIMPKIN, Sep. 16",Abdullah,Achmed,The Red stain: a story of mystery and crime,SIMPKIN,6s.,8vo.,"Abdullah (Achmed)-The Red stain: a story of mystery and crime. Cr. 8vo. 74 X 5, pp. 309, 6s. SIMPKIN, Sep. 16",Achmed Abdullah,['Abdullah (Achmed)'],,Sep. 16,
13,"Acland (Mrs. Arthur H. D.)-Child training. Cr. 8vo. 71 x 5, pp. 179, 1s. net SIDGWICK & J., Oct. 16",Acland,Mrs. Arthur H. D.,Child training,SIDGWICK & J.,1s.,8vo.,"Acland (Mrs. Arthur H. D.)-Child training. Cr. 8vo. 71 x 5, pp. 179, Is. net SIDGWICK & J., Oct. 16",Mrs. Arthur H. D. Acland,['Acland (Mrs. Arthur H. D.)'],,Oct. 16,net
27,"Adair (Cecil)-The Mist pool. Cr. 8vo. 71 x 4*, pp. 352, 6s .S. PAUL, Feb. 16",Adair,Cecil,The Mist pool,S. PAUL,6,8vo.,"Adair (Cecil)-The Mist pool. Cr. 8vo. 71 x 4*, pp. 352, 6s .S. PAUL, Feb. 16",Cecil Adair,['Adair (Cecil)'],,Feb. 16,
28,"Adair (Robin)--Practical oral hygiene prophylaxis and pyorrhea alveolaris. 2nd ed. enlarged and revised. Ryl. 8vo. 91 x 61, 21s. net KIMPTON, Feb. 16",Adair,Robin,Practical oral hygiene prophylaxis and pyorrhea alveolaris,KIMPTON,21s.,8vo.,"Adair (Robin)--Practical oral hygiene prophylaxis and pyorrhea alveolaris. 2nd ed. enlarged and revised. Ryl. 8vo. 91 x 61, 21s. net KIMPTON, Feb. 16",Robin Adair,['Adair (Robin)'],,Feb. 16,net
32,"Adams (H. F.)--Advertising and its mental laws. Cr. 8vo. 71 X 5, 6s. 6d. net MACMILLAN, Dec. 16",Adams,H. F.,Advertising and its mental laws,MACMILLAN,6s. 6d.,8vo.,"Adams (H. F.)--Advertising and its mental laws. Cr. 8vo. 71 X 5, 6s. 6d. net MACMILLAN, Dec. 16",H. F. Adams,['Adams (H. F.)'],,Dec. 16,net
33,"Adams (John Quincy)--Writings. Ed. by Worthington C. Ford. Vol. 6, 1816-1819, 8vo. 9 X 6, 15s. net ......MACMILLAN, May 16",Adams,John Quincy,Writings,MACMILLAN,15s.,8vo.,"Adams (John Quincy)--Writings. Ed. by Worthington C. Ford. Vol. 6, 1816-1819, 8vo. 9 X 6, 15s. net ......MACMILLAN, May 16",John Quincy Adams,['Adams (John Quincy)'],,May 16,net
34,"Adams (Samuel Hopkins)----Little Miss Grouch: a narrative based upon the private log of Alexander Forsyth Smith's maiden Trans- atlantic voyage. Cr. 8vo. 74 x 5, pp. 217, 28. 6d. net ..MURRAY, Mar. 16",Adams,Samuel Hopkins,Little Miss Grouch: a narrative based upon the private log of Alexander Forsyth Smith's maiden Trans- atlantic voyage,MURRAY,6d.,8vo.,"Adams (Samuel Hopkins)----Little Miss Grouch: a narrative based upon the private log of Alexander Forsyth Smith's maiden Trans- atlantic voyage. Cr. 8vo. 74 x 5, pp. 217, 28. 6d. net ..MURRAY, Mar. 16",Samuel Hopkins Adams,['Adams (Samuel Hopkins)'],,Mar. 16,net
