,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
0,"A. K. H. B. : selections, Boyd (A. K. H.) is. net A. L.” Welcome readers (The). Book Illa. 4to. 9d. net .E. J. ARNOLD, Aug. 14",,,"A. K. H. B. : selections, Boyd (A. K. H.) is",E. J. ARNOLD,9d.,4to.,"A. K. H. B. : selections, Boyd (A. K. H.) is. net A. L.” Welcome readers (The). Book Illa. 4to. 9d. net .E. J. ARNOLD, Aug. 14",,,,Aug. 14,1914,net
1," A.L. Welcome readers (The). Books 4A & 5A. 4to, ea. rod. net .E. J. ARNOLD, Sep. 14",,,A.L. Welcome readers (The),E. J. ARNOLD,,"4to,"," A.L. Welcome readers (The). Books 4A & 5A. 4to, ea. rod. net .E. J. ARNOLD, Sep. 14",,,,Sep. 14,1914,
2,"Abbey (John)—The Word of God and the use of intoxicating liquor. 2nd edit., enlarged. Cr. 8vo. 8} x 51, pp. 160, 1s. net (37, Thorncliffe Rd., Oxford) AUTHOR, July 14",Abbey,John,The Word of God and the use of intoxicating liquor,AUTHOR,1s.,8vo.,"Abbey (John)—The Word of God and the use of intoxicating liquor. 2nd edit., enlarged. Cr. 8vo. 8} x 51, pp. 160, Is. net (37, Thorncliffe Rd., Oxford) AUTHOR, July 14",John Abbey,['Abbey (John)'],,July 14,1914,net
3,"Abbot (Allen)-The Theorist : a novel. Cr. 8vo. 73x44, pp. 320, 6s. ..A. MELROSE, May 14",Abbot,Allen,The Theorist : a novel,A. MELROSE,6s.,8vo.,"Abbot (Allen)-The Theorist : a novel. Cr. 8vo. 73x44, pp. 320, 6s. ..A. MELROSE, May 14",Allen Abbot,['Abbot (Allen)'],,May 14,1914,
4,"Abbott (Edwin A.)—The Fourfold gospel. Section II., The Beginning. 8vo. 9X5}, pp. 480, 12s. éd. net CAMB. UNIV. PRESS, Feb. 14",Abbott,Edwin A.,The Fourfold gospel,CAMB. UNIV. PRESS,,8vo.,"Abbott (Edwin A.)—The Fourfold gospel. Section II., The Beginning. 8vo. 9X5}, pp. 480, 125. éd. net CAMB. UNIV. PRESS, Feb. 14",Edwin A. Abbott,['Abbott (Edwin A.)'],,Feb. 14,1914,
5,"Abbott (Eleanor Hallowell) — The White linen Cr. 8vo. 73 X5, pp. 284, 6s. HODDER & S., Feb. 14",Abbott,Eleanor Hallowell,The White linen,HODDER & S.,6s.,8vo.,"Abbott (Eleanor Hallowell) — The White linen Cr. 8vo. 73 X5, pp. 284, 6s. HODDER & S., Feb. 14",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,Feb. 14,1914,
6,"Abbott (H. W.)--Vision : a book of lyrics. Cr. 8vo., 28. 6d. net ... E. MATHEWS, May 14",Abbott,H. W.,Vision : a book of lyrics,E. MATHEWS,6d.,8vo.,"Abbott (H. W.)--Vision : a book of lyrics. Cr. 8vo., 28. 6d. net ... E. MATHEWS, May 14",H. W. Abbott,['Abbott (H. W.)'],,May 14,1914,net
7,"Abbott (J. F.)—The Elementary pr'nciples of general biology. Cr. 8vo., 6s. 6d. net MACMILLAN, Mar. 14",Abbott,J. F.,The Elementary pr'nciples of general biology,MACMILLAN,6s. 6d.,8vo.,"Abbott (J. F.)—The Elementary pr'nciples of general biology. Cr. 8vo., 6s. 6d. net MACMILLAN, Mar. 14",J. F. Abbott,['Abbott (J. F.)'],,Mar. 14,1914,net
8,"Abbott (Willis J.)-Notable women in history. Illus. 8vo. 9} x 58, pp. 450, 16s. net GREENING, Mar. 14",Abbott,Willis J.,Notable women in history,GREENING,16s.,8vo.,"Abbott (Willis J.)-Notable women in history. Illus. 8vo. 9} x 58, pp. 450, 16s. net GREENING, Mar. 14",Willis J. Abbott,['Abbott (Willis J.)'],,Mar. 14,1914,net
9,"Abderhalden (Emil)--Defensive ferments of the animal organism. 3rd enlarged edit. Cr. 8vo 71 X 5, pp. 262, 7s. 6d. net .BALE, Apr. 14",Abderhalden,Emil,Defensive ferments of the animal organism,BALE,7s. 6d.,8vo,"Abderhalden (Emil)--Defensive ferments of the animal organism. 3rd enlarged edit. Cr. 8vo 71 X 5, pp. 262, 75. 6d. net .BALE, Apr. 14",Emil Abderhalden,['Abderhalden (Emil)'],,Apr. 14,1914,net
