entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Abney (Sir William de W.)-Researches in colour vision and the trichromatic theory. 8vo. 9X58, pp. 432, 213, net....LONGMANS, Jan. 13",Abney,Sir William de W.,Researches in colour vision and the trichromatic theory,LONGMANS,,0.0,8vo.,"Abney (Sir William de W.)-Researches in colour vision and the trichromatic theory. 8vo. 9X58, pp. 432, 213, net....LONGMANS, Jan. 13",Sir William de W. Abney,['Abney (Sir William de W.)'],,Jan. 13,
"Abbott (Edwin A.)-Miscellanea evangelica (1). Demy 8vo., pp. 108, 23. net CAMB, UNIV. PRESS, Oct. 13",,,Demy,"CAMB, UNIV. PRESS",,0.0,8vo.,"Abbott (Edwin A.)-Miscellanea evangelica (1). Demy 8vo., pp. 108, 23. net CAMB, UNIV. PRESS, Oct. 13",,['Abbott (Edwin A.)-Miscellanea evangelica (1)'],,Oct. 13,
"Abelard et Héloise, Lettres amoureuses d'. s. net Abel's Laboratory handbook of bacteriology. 2nd English edit. Iamo. 64 x 4, pp. 264, 5. net (Oxford medical publications) FROWDE, Apr. 13",,,"Abelard et Héloise, Lettres amoureuses d'",FROWDE,,0.0,,"Abelard et Héloise, Lettres amoureuses d'. IS. net Abel's Laboratory handbook of bacteriology. 2nd English edit. Iamo. 64 x 4, pp. 264, 5. net (Oxford medical publications) FROWDE, Apr. 13",,,,Apr. 13,
"Accounts of executors, &c., Phillips (W. B.) 3s. 6d. net.. .Jan13 Accounts (Public)-Second report from Com- mittee of, 1 d.; First and Second reports from Committee of, with proceedings, minutes of evidence and appendices, 2s. id. WYMAN, July 13",,,"Accounts of executors, &c",WYMAN,,0.0,,"Accounts of executors, &c., Phillips (W. B.) 3s. 6d. net.. .Jan13 Accounts (Public)-Second report from Com- mittee of, 1 d.; First and Second reports from Committee of, with proceedings, minutes of evidence and appendices, 25. id. WYMAN, July 13",,,,July 13,
"Achard (Amédée)-Récits d'un soldat. 12mo., pp. 278, is, net.. ...NELSON, Nov. 13",Achard,Amédée,Récits d'un soldat,NELSON,,0.0,12mo.,"Achard (Amédée)-Récits d'un soldat. 12mo., pp. 278, is, net.. ...NELSON, Nov. 13",Amédée Achard,['Achard (Amédée)'],,Nov. 13,
"Acker (Paul)-Le Désir de vivre. 12mo., pp. 278, s. net . . NELSON, Dec. 13",Acker,Paul,Le Désir de vivre,NELSON,,0.0,12mo.,"Acker (Paul)-Le Désir de vivre. 12mo., pp. 278, IS. net . . NELSON, Dec. 13",Paul Acker,['Acker (Paul)'],,Dec. 13,
"Acland (Hon. Lady)--Plain words to mothers : outline addresses for speakers. 12mo., pp. 64, is. net.. GARDNER, D., May 13",Acland,Hon. Lady,Plain words to mothers : outline addresses for speakers,"GARDNER, D.",,0.0,12mo.,"Acland (Hon. Lady)--Plain words to mothers : outline addresses for speakers. 12mo., pp. 64, is. net.. GARDNER, D., May 13",Hon. Lady Acland,['Acland (Hon. Lady)'],,May 13,
"Acrostics, Anthology and, 1ddesleigh (Earl of), , .Jan13 Action, Principle of least, Jourdain (P.E.B. - Army’act, rev. to 1913, 1s... . Oct13 Acton (Lord)-Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul. 8vo. 91 x 51, pp. 288, ios, net.. ...MACMILLAN, Feb. 13",,,"Acrostics, Anthology and",MACMILLAN,,0.0,8vo.,"Acrostics, Anthology and, Iddesleigh (Earl of), , .Jan13 Action, Principle of least, Jourdain (P.E.B. - Army’act, rev. to 1913, 1s... . Oct13 Acton (Lord)-Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul. 8vo. 91 x 51, pp. 288, ios, net.. ...MACMILLAN, Feb. 13",,,,Feb. 13,
"Acts-Agricultural holdings, 1912, id. ; Aerial navigation, 1912, id. ; Trade Union, 1913, 2d. ; Railway and canal traffic, 1913, id. (post free) WYMAN, Mar. 13",,,Acts-Agricultural holdings,WYMAN,,0.0,,"Acts-Agricultural holdings, 1912, id. ; Aerial navigation, 1912, id. ; Trade Union, 1913, 2d. ; Railway and canal traffic, 1913, id. (post free) WYMAN, Mar. 13",,,,Mar. 13,
"Acts—Shops amendment, 1913, id.; Clerks of Session (Scotland) regulation, 1913, id. ; Tuberculosis prevention (Ireland), 1913, itd. . Appropriation (1912-13), 1913, ijd. ; Pensions (Governors of Dominions, &c.), amendment, 1913, id. (post free)..........WYMAN, Mar. 13",,,Acts—Shops amendment,WYMAN,,0.0,,"Acts—Shops amendment, 1913, id.; Clerks of Session (Scotland) regulation, 1913, id. ; Tuberculosis prevention (Ireland), 1913, itd. . Appropriation (1912-13), 1913, ijd. ; Pensions (Governors of Dominions, &c.), amendment, 1913, id. (post free)..........WYMAN, Mar. 13",,,,Mar. 13,
