entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Africa, S. and Rhodesia-Report on trade of, for WYMAN, Oct. 15",,,,WYMAN,,,"Africa, S. and Rhodesia-Report on trade of, for WYMAN, Oct. 15",,,,Oct. 15,1915,
"Agriculture for Scotland (Board of)-3rd Report, 1914. 10d. .WYMAN, May 15",Agriculture for Scotland,Board of,,WYMAN,10d.,,"Agriculture for Scotland (Board of)-3rd Report, 1914. 10d. .WYMAN, May 15",Board of Agriculture for Scotland,['Agriculture for Scotland (Board of)'],,May 15,1915,
"Aitchison (Leslie) see Ibbotson (F.) and Aitchison Aitken (J. R.)--The Christ of the men of art. Illus. Ryl. 8vo. 91 X6, PP. 382, 15s. net CLARK, Mar. 15",Aitchison,Leslie,,CLARK,15s.,8vo.,"Aitchison (Leslie) see Ibbotson (F.) and Aitchison Aitken (J. R.)--The Christ of the men of art. Illus. Ryl. 8vo. 91 X6, PP. 382, 155. net CLARK, Mar. 15",Leslie Aitchison,['Aitchison (Leslie)'],,Mar. 15,1915,net
"Agriculture and Fisheries (Board of)—25th annual meeting of representatives of authorities under the Sea Fisheries Regulation Act, 1889 : Report of proceedings. 30. . WYMAN, Aug 15",,,,WYMAN,,,"Agriculture and Fisheries (Board of)—25th annual meeting of representatives of authorities under the Sea Fisheries Regulation Act, 1889 : Report of proceedings. 30. . WYMAN, Aug 15",,"['Agriculture', 'Fisheries (Board of)']",,Aug 15,1915,
"Aliens Restriction Order-List of prohibited areas, WYMAN, Aug. 15",,,,WYMAN,,,"Aliens Restriction Order-List of prohibited areas, WYMAN, Aug. 15",,,,Aug. 15,1915,
"Archaeological excavation, Droop (J. P.) 4s. net Archæological Survey of Ceylon-Epigraphia Zeylanica : being Lithic and other inscriptions of Ceylon. Ed. and trans. by Don Martino de Zilva Wickremasinghe. Vol. 2, Pt. 3, 7 plates. Demy 4to. 11} X9, pp. 50, 5s. net MILFORD, Oct. 15","Archaeological excavation, Droop",J. P.,,MILFORD,5s.,4to.,"Archaeological excavation, Droop (J. P.) 45. net Archæological Survey of Ceylon-Epigraphia Zeylanica : being Lithic and other inscriptions of Ceylon. Ed. and trans. by Don Martino de Zilva Wickremasinghe. Vol. 2, Pt. 3, 7 plates. Demy 4to. 11} X9, pp. 50, 5s. net MILFORD, Oct. 15","J. P. Archaeological excavation, Droop","['Archaeological excavation, Droop (J. P.)']",,Oct. 15,1915,net
"WYMAN, Feb. 15",,,,WYMAN,,,"WYMAN, Feb. 15",,,,Feb. 15,1915,
"Army-Clothing and necessaries (incl. materials), Priced vocabulary (provisional), is. WYMAN, Nov. 15",,,,WYMAN,,,"Army-Clothing and necessaries (incl. materials), Priced vocabulary (provisional), is. WYMAN, Nov. 15",,"['Army-Clothing', 'necessaries (incl. materials), Priced vocabulary (provisional)']",,Nov. 15,1915,
"6d..... Army-Electric light apparatus (defence): In- structions for working. id. ..WYMAN, Oct. 15",,,,WYMAN,,,"6d..... Army-Electric light apparatus (defence): In- structions for working. id. ..WYMAN, Oct. 15",,,,Oct. 15,1915,
"Army-Institutes, garrison and regimental : Rules for the management of, id. WYMAN, Nov.15",,,,WYMAN,,,"Army-Institutes, garrison and regimental : Rules for the management of, id. WYMAN, Nov.15",,,,Nov.15,1915,
