entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"HJI STATIONERY OFF., May '18",,,,HJI STATIONERY OFF.,,,"HJI STATIONERY OFF., May '18",,,,May '18,
"Agriculturo for Scotland (Bd. of)-6th Report, 1917. 4d. ..H.M. STATIONERY OFF., June '18",Agriculturo for Scotland,Bd. of,,H.M. STATIONERY OFF.,4d.,,"Agriculturo for Scotland (Bd. of)-6th Report, 1917. 4d. ..H.M. STATIONERY OFF., June '18",Bd. of Agriculturo for Scotland,['Agriculturo for Scotland (Bd. of)'],,June '18,
"Army-Army orciers. (Monthly) 1 a. 3d. H.M. STATIONERY OFF., Jan., &c., '18",Army-Army orciers.,Monthly,,H.M. STATIONERY OFF.,3d.,,"Army-Army orciers. (Monthly) 1 a. 3d. H.M. STATIONERY OFF., Jan., &c., '18",Monthly Army-Army orciers.,['Army-Army orciers. (Monthly)'],,"Jan., &c., '18",
"H.M. STATIONERY OFF., Alar. '18",,,,H.M. STATIONERY OFF.,,,"H.M. STATIONERY OFF., Alar. '18",,,,Alar. '18,
"Army-Estimate, 1917-18 (Supp.). id. H.M. STATIONERY OFF., Feb. '18","Army-Estimate, 1917-18",Supp.,,H.M. STATIONERY OFF.,,,"Army-Estimate, 1917-18 (Supp.). id. H.M. STATIONERY OFF., Feb. '18","Supp. Army-Estimate, 1917-18","['Army-Estimate, 1917-18 (Supp.)']",,Feb. '18,
"Ball (Mrs. C. E.) see Rhodes (H.) Ball (W. W. Rouse)--Cambridge papers. 8vo. 8x5, pp. 333, 6s. nit.. MACMILLAN, Feb. '18",Ball,Mrs. C. E.,,MACMILLAN,,,"Ball (Mrs. C. E.) see Rhodes (H.) Ball (W. W. Rouse)--Cambridge papers. 8vo. 8x5, pp. 333, 6s. nit.. MACMILLAN, Feb. '18",Mrs. C. E. Ball,['Ball (Mrs. C. E.)'],,Feb. '18,
"Balz (A. G. A.)--1dea and essence in the philoso- phies of Hobbes and Spinoza. Med. 8vo. 9 X6, pp. 86, swd. 4s. 6d. net (Archives of philosophy) .MILFORD, May '18",Balz,A. G. A.,,MILFORD,4s. 6d.,8vo.,"Balz (A. G. A.)--Idea and essence in the philoso- phies of Hobbes and Spinoza. Med. 8vo. 9 X6, pp. 86, swd. 45. 6d. net (Archives of philosophy) .MILFORD, May '18",A. G. A. Balz,['Balz (A. G. A.)'],,May '18,net
"Beech (Mervyn W. H.)-4ils to the :tudy of Ki. Stralili : fons tvlies. Comp. annil ann. tatar by M. W. H. B. 8vo. 6s. net K. PAUL, Apr.'18",Beech,Mervyn W. H.,,K. PAUL,6s.,8vo.,"Beech (Mervyn W. H.)-4ils to the :tudy of Ki. Stralili : fons tvlies. Comp. annil ann. tatar by M. W. H. B. 8vo. 6s. net K. PAUL, Apr.'18",Mervyn W. H. Beech,['Beech (Mervyn W. H.)'],,Apr.'18,net
"UNWIN, Aug. '18",,,,UNWIN,,,"UNWIN, Aug. '18",,,,Aug. '18,
"Cr. 8vo. 7 X 5, pp. 328, 6s. net Berkshire, Agriculturi ini, UI11d. vi. vu.bet CASSELL, Anr. '18",,,,CASSELL,,8vo.,"Cr. 8vo. 7 X 5, pp. 328, 6s. net Berkshire, Agriculturi ini, UII Id. vi. vu.bet CASSELL, Anr. '18",,,,Anr. '18,
