entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Agricultural statistics (Ireland) 1916--Gen. abstracts showing acreage under crops and numbers and descrip. of live stock in ca. County and Province, for 1915-16. 2d. WYMAN, Sep. 16",Agricultural statistics,Ireland,,WYMAN,2d.,0.008333333333333333,,"Agricultural statistics (Ireland) 1916--Gen. abstracts showing acreage under crops and numbers and descrip. of live stock in ca. County and Province, for 1915-16. 2d. WYMAN, Sep. 16",Ireland Agricultural statistics,['Agricultural statistics (Ireland)'],,Sep. 16,
"Agriculture for Ireland (Dept. of)-15th Annual gen. rpt. for 1914-1s. s. . . WYMAN, Aug. 16",Agriculture for Ireland,Dept. of,,WYMAN,,0.0,,"Agriculture for Ireland (Dept. of)-15th Annual gen. rpt. for 1914-15. IS. . . WYMAN, Aug. 16",Dept. of Agriculture for Ireland,['Agriculture for Ireland (Dept. of)'],,Aug. 16,
"Agriculture for Scotland (Board of)---4th Report for 1915, 3}d. .WYMAN, July 16",Agriculture for Scotland,Board of,,WYMAN,,0.0,,"Agriculture for Scotland (Board of)---4th Report for 1915, 3}d. .WYMAN, July 16",Board of Agriculture for Scotland,['Agriculture for Scotland (Board of)'],,July 16,
"Army-Bayonet training. (Provisional.) id. WYMAN, Mar. 16",Army-Bayonet training.,Provisional.,,WYMAN,,0.0,,"Army-Bayonet training. (Provisional.) id. WYMAN, Mar. 16",Provisional. Army-Bayonet training.,['Army-Bayonet training. (Provisional.)'],,Mar. 16,
"Ashmun (Margaret)-1sabel Carleton's year. Cr. 8vo. 7** 5, 5s, net ..MACMILLAN, Dec. 16",Ashmun,Margaret,,MACMILLAN,5s.,0.25,8vo.,"Ashmun (Margaret)-Isabel Carleton's year. Cr. 8vo. 7** 5, 5s, net ..MACMILLAN, Dec. 16",Margaret Ashmun,['Ashmun (Margaret)'],,Dec. 16,net
"CHAPMAN & H., June 16",,,,CHAPMAN & H.,,0.0,,"CHAPMAN & H., June 16",,,,June 16,
"HODDER & S., Aug. 16",,,,HODDER & S.,,0.0,,"HODDER & S., Aug. 16",,,,Aug. 16,
"Astell, Mary, Smith (F. M.) 6s. 6d. net . Aug. 16 Aubertin (C. J.)--A Caravan afloat. Svo. 81x5}, Asthma, Pathology and treatment of so-called pp. 155, 3s. 6d. net ...SIMPKIN, July 16","Astell, Mary, Smith",F. M.,,SIMPKIN,3s. 6d.,0.175,,"Astell, Mary, Smith (F. M.) 6s. 6d. net . Aug. 16 Aubertin (C. J.)--A Caravan afloat. Svo. 81x5}, Asthma, Pathology and treatment of so-called pp. 155, 3s. 6d. net ...SIMPKIN, July 16","F. M. Astell, Mary, Smith","['Astell, Mary, Smith (F. M.)']",,July 16,net
"L. B. HILL, July 16",,,,L. B. HILL,,0.0,,"L. B. HILL, July 16",,,,July 16,
"Cr. 8vo. 71 x 4}, Ithr. 5s. net ...SPON, Mar. 16 Auvergne (Edmund B. d')—The Light side of Austin (F. E.)-How to make a low pressure London. Cr. 8vo. 77 x 44, pp. 262, swd. is. net transformer. Cr. 8vo. 73 x 44, 2s. net LAURIE, May 16",,,,LAURIE,2s.,0.1,8vo.,"Cr. 8vo. 71 x 4}, Ithr. 5s. net ...SPON, Mar. 16 Auvergne (Edmund B. d')—The Light side of Austin (F. E.)-How to make a low pressure London. Cr. 8vo. 77 x 44, pp. 262, swd. is. net transformer. Cr. 8vo. 73 x 44, 25. net LAURIE, May 16",,,,May 16,net
"Auvergne (Edmund B. d')-Switzerland in sun- SPON, Jan. 16",Auvergne,Edmund B. d',,SPON,,0.0,,"Auvergne (Edmund B. d')-Switzerland in sun- SPON, Jan. 16",Edmund B. d' Auvergne,"[""Auvergne (Edmund B. d')""]",,Jan. 16,
"Australasia triumphant, Adcock (A. St. J.) CASSELL, Jan, 16","Australasia triumphant, Adcock",A. St. J.,,CASSELL,,0.0,,"Australasia triumphant, Adcock (A. St. J.) CASSELL, Jan, 16","A. St. J. Australasia triumphant, Adcock","['Australasia triumphant, Adcock (A. St. J.)']",,"Jan, 16",
