,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
26,". WYMAN, Sep. 16",,,,WYMAN,,,". WYMAN, Sep. 16",,,,Sep. 16,1916,
72,"id. .WYMAN, Aug. 16",,,,WYMAN,,,"id. .WYMAN, Aug. 16",,,,Aug. 16,1916,
75,"net .MATHEWS, Jan. 16",,,,MATHEWS,,,"net .MATHEWS, Jan. 16",,,,Jan. 16,1916,
78,"Agricultural statistics (Ireland) 1916--Gen. abstracts showing acreage under crops and numbers and descrip. of live stock in ca. County and Province, for 1915-16. 2d. WYMAN, Sep. 16",Agricultural statistics,Ireland,,WYMAN,2d.,,"Agricultural statistics (Ireland) 1916--Gen. abstracts showing acreage under crops and numbers and descrip. of live stock in ca. County and Province, for 1915-16. 2d. WYMAN, Sep. 16",Ireland Agricultural statistics,['Agricultural statistics (Ireland)'],,Sep. 16,1916,
82,"Agriculture for Ireland (Dept. of)-15th Annual gen. rpt. for 1914-1s. s. . . WYMAN, Aug. 16",Agriculture for Ireland,Dept. of,,WYMAN,,,"Agriculture for Ireland (Dept. of)-15th Annual gen. rpt. for 1914-15. IS. . . WYMAN, Aug. 16",Dept. of Agriculture for Ireland,['Agriculture for Ireland (Dept. of)'],,Aug. 16,1916,
84,"Agriculture for Scotland (Board of)---4th Report for 1915, 3}d. .WYMAN, July 16",Agriculture for Scotland,Board of,,WYMAN,,,"Agriculture for Scotland (Board of)---4th Report for 1915, 3}d. .WYMAN, July 16",Board of Agriculture for Scotland,['Agriculture for Scotland (Board of)'],,July 16,1916,
124,"5s. net . Allied peace : being an unofficial forecast of the terms of peace. 81 X54, pp. 30, 3d. NEW STATESMAN, Nov. 16",,,,NEW STATESMAN,3d.,,"55. net . Allied peace : being an unofficial forecast of the terms of peace. 81 X54, pp. 30, 3d. NEW STATESMAN, Nov. 16",,,,Nov. 16,1916,
185,"Arabian nights (Lane). 4 yols. 71 X 44, pp. 727, 681, 679, 703, ea. 3s. net (Internat. lib.) JARROLD, May 16",Arabian nights,Lane,,JARROLD,3s.,,"Arabian nights (Lane). 4 yols. 71 X 44, pp. 727, 681, 679, 703, ea. 3s. net (Internat. lib.) JARROLD, May 16",Lane Arabian nights,['Arabian nights (Lane)'],,May 16,1916,net
202,"DUCKWORTH, Dec. 16",,,,DUCKWORTH,,,"DUCKWORTH, Dec. 16",,,,Dec. 16,1916,
215,"Army-Bayonet training. (Provisional.) id. WYMAN, Mar. 16",Army-Bayonet training.,Provisional.,,WYMAN,,,"Army-Bayonet training. (Provisional.) id. WYMAN, Mar. 16",Provisional. Army-Bayonet training.,['Army-Bayonet training. (Provisional.)'],,Mar. 16,1916,
