,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
1,"(Orpington : “ The Maples,” Goddington Lane) J. ABBEY, Jan. '18",,,,J. ABBEY,,,"(Orpington : “ The Maples,” Goddington Lane) J. ABBEY, Jan. '18",,,,Jan. '18,1918,
18,"6d. ; Acts--Consolidated Fund (No. 2), id.; Defence of the Realm (Beans, peas, and pulse Orders), 1d.; Horse breeding, id. HM. STATIONERY OFF., July '18",,,,HM. STATIONERY OFF.,,,"6d. ; Acts--Consolidated Fund (No. 2), id.; Defence of the Realm (Beans, peas, and pulse Orders), Id.; Horse breeding, id. HM. STATIONERY OFF., July '18",,,,July '18,1918,
66,"id. ........H.M. STATIONERY OFF., Oct. '18",,,,H.M. STATIONERY OFF.,,,"id. ........H.M. STATIONERY OFF., Oct. '18",,,,Oct. '18,1918,
84,"HJI STATIONERY OFF., May '18",,,,HJI STATIONERY OFF.,,,"HJI STATIONERY OFF., May '18",,,,May '18,1918,
90,"Agriculturo for Scotland (Bd. of)-6th Report, 1917. 4d. ..H.M. STATIONERY OFF., June '18",Agriculturo for Scotland,Bd. of,,H.M. STATIONERY OFF.,4d.,,"Agriculturo for Scotland (Bd. of)-6th Report, 1917. 4d. ..H.M. STATIONERY OFF., June '18",Bd. of Agriculturo for Scotland,['Agriculturo for Scotland (Bd. of)'],,June '18,1918,
142,"2s. Vol. 23. . Sep.' * Anne Angell (Norman)-The Political conditions of Allied success : a plea for the protective union of the democracies. 71 X 5, pp. 379, 7s. 6d. net . . PUTNAM, Aug. '18",,,,PUTNAM,7s. 6d.,,"25. Vol. 23. . Sep.' * Anne Angell (Norman)-The Political conditions of Allied success : a plea for the protective union of the democracies. 71 X 5, pp. 379, 75. 6d. net . . PUTNAM, Aug. '18",,,,Aug. '18,1918,net
167,"Army-Army orciers. (Monthly) 1 a. 3d. H.M. STATIONERY OFF., Jan., &c., '18",Army-Army orciers.,Monthly,,H.M. STATIONERY OFF.,3d.,,"Army-Army orciers. (Monthly) 1 a. 3d. H.M. STATIONERY OFF., Jan., &c., '18",Monthly Army-Army orciers.,['Army-Army orciers. (Monthly)'],,"Jan., &c., '18",1918,
169,"H.M. STATIONERY OFF., Alar. '18",,,,H.M. STATIONERY OFF.,,,"H.M. STATIONERY OFF., Alar. '18",,,,Alar. '18,1918,
174,"Army-Estimate, 1917-18 (Supp.). id. H.M. STATIONERY OFF., Feb. '18","Army-Estimate, 1917-18",Supp.,,H.M. STATIONERY OFF.,,,"Army-Estimate, 1917-18 (Supp.). id. H.M. STATIONERY OFF., Feb. '18","Supp. Army-Estimate, 1917-18","['Army-Estimate, 1917-18 (Supp.)']",,Feb. '18,1918,
285,"Ball (Mrs. C. E.) see Rhodes (H.) Ball (W. W. Rouse)--Cambridge papers. 8vo. 8x5, pp. 333, 6s. nit.. MACMILLAN, Feb. '18",Ball,Mrs. C. E.,,MACMILLAN,,,"Ball (Mrs. C. E.) see Rhodes (H.) Ball (W. W. Rouse)--Cambridge papers. 8vo. 8x5, pp. 333, 6s. nit.. MACMILLAN, Feb. '18",Mrs. C. E. Ball,['Ball (Mrs. C. E.)'],,Feb. '18,1918,
