,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
96,"H.M. STATIONERY OFF., June '17",,,,H.M. STATIONERY OFF.,,,"H.M. STATIONERY OFF., June '17",,,,June '17,1917,
101,"Agriculture for Scotland (Bd. of)--5th Report 1916. 30. H.M. STATIONERY OFF., July '17",Agriculture for Scotland,Bd. of,,H.M. STATIONERY OFF.,,,"Agriculture for Scotland (Bd. of)--5th Report 1916. 30. H.M. STATIONERY OFF., July '17",Bd. of Agriculture for Scotland,['Agriculture for Scotland (Bd. of)'],,July '17,1917,
115,"Alexander (Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum) WESLEY, Scp. '17",Alexander,"Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum",,WESLEY,,,"Alexander (Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum) WESLEY, Scp. '17","Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum Alexander","['Alexander (Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum)']",,Scp. '17,1917,
120,"Ali (Mrs. Meer Hassan) see Meer Hassan Ali (Mrs.) Ali (Syed Ameer) see Ameer Ali. Alice-for-Short, De Morgan (W.) 48. 6d. pet Aliens (Naturalization)-Return showing names, &c., of all aliens to whom certificates of naturalization have been issued during 1916, &c. 4d. ..H.M. STATIONERY OFF., Aug. '17",Ali,Mrs. Meer Hassan,,H.M. STATIONERY OFF.,4d.,,"Ali (Mrs. Meer Hassan) see Meer Hassan Ali (Mrs.) Ali (Syed Ameer) see Ameer Ali. Alice-for-Short, De Morgan (W.) 48. 6d. pet Aliens (Naturalization)-Return showing names, &c., of all aliens to whom certificates of naturalization have been issued during 1916, &c. 4d. ..H.M. STATIONERY OFF., Aug. '17",Mrs. Meer Hassan Ali,"['Ali (Mrs. Meer Hassan)', 'Alice-for-Short, De Morgan (W.)']",,Aug. '17,1917,
194,"Aris (Ernest A.)--Twinkle Mouse of Cornstalk PARTRIDGE, Sep. '17",Aris,Ernest A.,,PARTRIDGE,,,"Aris (Ernest A.)--Twinkle Mouse of Cornstalk PARTRIDGE, Sep. '17",Ernest A. Aris,['Aris (Ernest A.)'],,Sep. '17,1917,
204,"Army-Bayonet training, 1916. (1ssued with Army Orders, Dec. 1916.) 2d. WYMAN, Mar. 17","Army-Bayonet training, 1916.","1ssued with Army Orders, Dec. 1916.",,WYMAN,2d.,,"Army-Bayonet training, 1916. (Issued with Army Orders, Dec. 1916.) 2d. WYMAN, Mar. 17","1ssued with Army Orders, Dec. 1916. Army-Bayonet training, 1916.","['Army-Bayonet training, 1916. (1ssued with Army Orders, Dec. 1916.)']",,Mar. 17,1917,
208,"Army-Contracts (War Office): memorandum. ......H.M. STATIONERY OFF., June '17",Army-Contracts,War Office,,H.M. STATIONERY OFF.,,,"Army-Contracts (War Office): memorandum. ......H.M. STATIONERY OFF., June '17",War Office Army-Contracts,['Army-Contracts (War Office)'],,June '17,1917,
211,"Army-Cyclist training (Provisional). 6d. H.M. STATIONERY OFF., Aug. '17",Army-Cyclist training,Provisional,,H.M. STATIONERY OFF.,6d.,,"Army-Cyclist training (Provisional). 6d. H.M. STATIONERY OFF., Aug. '17",Provisional Army-Cyclist training,['Army-Cyclist training (Provisional)'],,Aug. '17,1917,
322,"Ball (Mrs. C. E.) see Rhodes (H.) Ball (Eustace Hale)-Cinema plays : how to write them, how to sell them. Cr. 8vo. 64 x 41, pp. 156, 3s. 6d. net .....S. PAUL, Oct. '17",Ball,Mrs. C. E.,,S. PAUL,3s. 6d.,8vo.,"Ball (Mrs. C. E.) see Rhodes (H.) Ball (Eustace Hale)-Cinema plays : how to write them, how to sell them. Cr. 8vo. 64 x 41, pp. 156, 35. 6d. net .....S. PAUL, Oct. '17",Mrs. C. E. Ball,['Ball (Mrs. C. E.)'],,Oct. '17,1917,net
439,"Cr. 8vo. 78 x 51, pp. 160, 5s. net BLACKWELL, Nov. '17",,,,BLACKWELL,5s.,8vo.,"Cr. 8vo. 78 x 51, pp. 160, 55. net BLACKWELL, Nov. '17",,,,Nov. '17,1917,net
