entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Abhidhammattha-Sangaba, Compendium of Philo- sophy, 5s. net .Jan. Aboda Zara : Mishna on 1dolatry. 7s. 6d. net Oct. II About Edmond)-L'Homme à l'oreille cassée, Adapted and edit. by Eugène Pellissier. Cr. 8vo. pp. 242, 2s. (Liepmann's Elemen. French ser.). . MACMILLAN, Feb. II About (Fdmond)--Les Mariages de Paris. 12mo. pp. 368, 1s. net ... NELSON, Feb. II About Edwin Drood. 8vo. 81x5), pp. 104, 4s. net CAMB. UNIV. PRESS, Feb.11",,,"Abhidhammattha-Sangaba, Compendium of Philo- sophy",CAMB. UNIV. PRESS,4s.,0.2,8vo.,"Abhidhammattha-Sangaba, Compendium of Philo- sophy, 5s. net .Jan. Aboda Zara : Mishna on Idolatry. 75. 6d. net Oct. II About Edmond)-L'Homme à l'oreille cassée, Adapted and edit. by Eugène Pellissier. Cr. 8vo. pp. 242, 25. (Liepmann's Elemen. French ser.). . MACMILLAN, Feb. II About (Fdmond)--Les Mariages de Paris. 12mo. pp. 368, Is. net ... NELSON, Feb. II About Edwin Drood. 8vo. 81x5), pp. 104, 45. net CAMB. UNIV. PRESS, Feb.11",,,,Feb.11,net
"Acts—Upper Medway navigation and con- servancy 6s. 2d. ; London Electric Railway, 4s. 1}d.; Port of London, 61d.; Charles Skier's Charity, 60}. (post free) WYMAN, Sep. 11",,,Acts—Upper Medway navigation and con- servancy,WYMAN,,0.0,,"Acts—Upper Medway navigation and con- servancy 6s. 2d. ; London Electric Railway, 45. 1}d.; Port of London, 61d.; Charles Skier's Charity, 60}. (post free) WYMAN, Sep. 11",,,,Sep. 11,
"Acts-Weston-super-Mare gas, 9fd.; London Cemetery Company, 9td.; Luton water, 9fd.; Seaforth and Sefton junction railway, 6jd.; Dover Corporation, 6}d.; Chesham and District gas, 2s. 4d. (post free) WYMAN, Sep. ir Acts-Aberdeen Corporation order, 1911, s. 4d. ; Lloyd's Act, 9 d.; L.C.C. General powers, 6}d.; Drainage and improvement of lands: Ireland, 6 d.; Local Government Board's provisional orders: Gas, 9fd.; Gas Orders No. 2, 4s. 5d. (all post free) —WYMAN, Oct. 11",,,Acts-Weston-super-Mare gas,WYMAN,,0.0,,"Acts-Weston-super-Mare gas, 9fd.; London Cemetery Company, 9td.; Luton water, 9fd.; Seaforth and Sefton junction railway, 6jd.; Dover Corporation, 6}d.; Chesham and District gas, 25. 4d. (post free) WYMAN, Sep. ir Acts-Aberdeen Corporation order, 1911, IS. 4d. ; Lloyd's Act, 9 d.; L.C.C. General powers, 6}d.; Drainage and improvement of lands: Ireland, 6 d.; Local Government Board's provisional orders: Gas, 9fd.; Gas Orders No. 2, 4s. 5d. (all post free) —WYMAN, Oct. 11",,,,Oct. 11,
"Acts—London County Council Money, is. 7d. ; London County Council Tramways and Improvements, 2s. 7d. (post free) WYMAN, Od. 11",,,"Acts—London County Council Money, is",WYMAN,2s. 7d.,0.12916666666666668,,"Acts—London County Council Money, is. 7d. ; London County Council Tramways and Improvements, 25. 7d. (post free) WYMAN, Od. 11",,,,Od. 11,
"Acts-Newcastle-upon-Tyne Corporation Act (post free) 5s. od........... WYMAN, Nov. II Acts--Sidmouth gas and electricity, 2s. 7d. ; Nottinghamshire and Derbyshire tramways, s. Iod.; Chester waterworks, 2s. 4d. (post free) . WYMAN, Nov. II Acts-South Western Railway, 2s. 4d. ; Oyster. mouth Urban District Council Water, 2s. id. ; Hornsea Urban District Council, 1s. 7d. ; Poplar Borough Council Superannuation, is. 3}d. (post free)..... WYMAN, Nov. II Acts—Luton Corporation Act, 1911 (post free), 3s. 8d..... . WYMAN, Dec. II Acts—Marple Urban District Council Act (post free), is, 7d...... ...WYMAN, Dec. II Adair (Cecil)—Cantacute Towers. Cr. 8vo. 78 X 48, pp. 316, 6s. ........S. PAUL, Mar. II Adair (Cecil) —— The Qualities of mercy. Cr. 8vo. 74 X5, pp. 326, 6s.... ....S. PAUL, Dec. II Adam (Curt)-Handbook of treatment for diseases Trans. from the 2nd German edit. 1910, by W. G. Sym & E. M, Lithgow. Cr. 8vo. 74 x 48, pp. 276, ios, net .. REBMAN, Jan. II Adam (D. S.)-Cardinal elements of the Christian faith. Svo. 81 X54, pp. 340, 6s. HODDER & S., Sep. II Adam (James) - The Vitality of Platonism, and other essays. 8vo. 9 X54, pp. 250, 7s. 6d, net CAMB. UNIV. PRESS, May 11",,,Acts-Newcastle-upon-Tyne Corporation Act (post free),CAMB. UNIV. PRESS,7s. 6d.,0.375,8vo.,"Acts-Newcastle-upon-Tyne Corporation Act (post free) 55. od........... WYMAN, Nov. II Acts--Sidmouth gas and electricity, 25. 7d. ; Nottinghamshire and Derbyshire tramways, IS. Iod.; Chester waterworks, 25. 4d. (post free) . WYMAN, Nov. II Acts-South Western Railway, 25. 4d. ; Oyster. mouth Urban District Council Water, 25. id. ; Hornsea Urban District Council, Is. 7d. ; Poplar Borough Council Superannuation, is. 3}d. (post free)..... WYMAN, Nov. II Acts—Luton Corporation Act, 1911 (post free), 35. 8d..... . WYMAN, Dec. II Acts—Marple Urban District Council Act (post free), is, 7d...... ...WYMAN, Dec. II Adair (Cecil)—Cantacute Towers. Cr. 8vo. 78 X 48, pp. 316, 6s. ........S. PAUL, Mar. II Adair (Cecil) —— The Qualities of mercy. Cr. 8vo. 74 X5, pp. 326, 6s.... ....S. PAUL, Dec. II Adam (Curt)-Handbook of treatment for diseases Trans. from the 2nd German edit. 1910, by W. G. Sym & E. M, Lithgow. Cr. 8vo. 74 x 48, pp. 276, ios, net .. REBMAN, Jan. II Adam (D. S.)-Cardinal elements of the Christian faith. Svo. 81 X54, pp. 340, 6s. HODDER & S., Sep. II Adam (James) - The Vitality of Platonism, and other essays. 8vo. 9 X54, pp. 250, 75. 6d, net CAMB. UNIV. PRESS, May 11",,,,May 11,net
"Aerial or wire-rope ways, Wallis-Tayler (A. J.) 7s. 6d. net .. Jan. II Aeronautical Society of Great Britain.-First report of the Bird Construction Committee. Compiled by Col. J. D. Fullerton. 4to. 91 X 12, pp. 62, ios. 6d. net AERONAUTICAL Soc., June ii Aeronautics : Conquest of the air, Berget (A.) 6s. net June II Aeronautics, Elem., Thurston (A. P.) 3s. 6d. net Feb. II Aeronautics : Gliding, Pilcher (P. S) is. net Mar. II Aeronautics, Romance of, Turner (C. C.) 5s. Sep. II Aeronautics report for 1910-11, s. 2d. WYMAN, Jan. II Aeronautics report, 1910-11 (post free), 2d. WYMAN, June II Aeronautics—Technical report, 1910-11 (post free), 6s, 4d... . WYMAN, Aug. 11",,,"Aerial or wire-rope ways, Wallis-Tayler (A. J.)",WYMAN,6s. 4d.,0.31666666666666665,4to.,"Aerial or wire-rope ways, Wallis-Tayler (A. J.) 75. 6d. net .. Jan. II Aeronautical Society of Great Britain.-First report of the Bird Construction Committee. Compiled by Col. J. D. Fullerton. 4to. 91 X 12, pp. 62, ios. 6d. net AERONAUTICAL Soc., June ii Aeronautics : Conquest of the air, Berget (A.) 6s. net June II Aeronautics, Elem., Thurston (A. P.) 35. 6d. net Feb. II Aeronautics : Gliding, Pilcher (P. S) is. net Mar. II Aeronautics, Romance of, Turner (C. C.) 5s. Sep. II Aeronautics report for 1910-11, IS. 2d. WYMAN, Jan. II Aeronautics report, 1910-11 (post free), 2d. WYMAN, June II Aeronautics—Technical report, 1910-11 (post free), 6s, 4d... . WYMAN, Aug. 11",,,,Aug. 11,
"Agricultural and forest products of Brit. W. Africa, Dudgeon (G. C.) 5s. net........Aug. II Agricultural chemistry Wood (T. B.) 2s. 6d. net Feb. II Agricultural College (Royal) Cirencester-Annual scientific bulletin. No. 2 for 1910. 8vo., pp. 100, 2s, .(Cirencester), W. H. SMITH, July 11",,,Agricultural and forest products of Brit,W. H. SMITH,,0.0,8vo.,"Agricultural and forest products of Brit. W. Africa, Dudgeon (G. C.) 5s. net........Aug. II Agricultural chemistry Wood (T. B.) 25. 6d. net Feb. II Agricultural College (Royal) Cirencester-Annual scientific bulletin. No. 2 for 1910. 8vo., pp. 100, 2s, .(Cirencester), W. H. SMITH, July 11",,,,July 11,
"Agricultural statistics. Part 1, for 1910 (post free) 7d. WYMAN, Apr. 11",,,Agricultural statistics,WYMAN,7d.,0.029166666666666667,,"Agricultural statistics. Part 1, for 1910 (post free) 7d. WYMAN, Apr. 11",,,,Apr. 11,
"Agricultural statistics, Part 3 for 1910: Prices and supplies (post free), 11d. WYMAN, Aug. 11",,,"Agricultural statistics, Part",WYMAN,11d.,0.04583333333333333,,"Agricultural statistics, Part 3 for 1910: Prices and supplies (post free), 11d. WYMAN, Aug. 11",,,,Aug. 11,
"Agriculture and the State : England's foundation Mills (J. S.) is. net... . Apr. II Agriculture, Board of-Report of the Intelligence Division for 1909-10, 1s. 4d. WYMAN, Feb. II Agriculture (Board of)—Report of the Land Division, 1910 (post free), 4d. WYMAN, May 11",,,Agriculture and the State : England's foundation Mills (J. S.) is,WYMAN,4d.,0.016666666666666666,,"Agriculture and the State : England's foundation Mills (J. S.) is. net... . Apr. II Agriculture, Board of-Report of the Intelligence Division for 1909-10, Is. 4d. WYMAN, Feb. II Agriculture (Board of)—Report of the Land Division, 1910 (post free), 4d. WYMAN, May 11",,,,May 11,
"Amazon, Travels on the, Wallace (A. R.) is. net May II Ambassador of Loss, Abbott (G. F.) Os... Sep. II Ambler (B. G.)- Alfred, Lord Tennyson, his homes and haunts. 8vo. 8 X54, pp. 96, bds. s, 6d. net (Pilgrim books)...... JACK, June 11",,,"Amazon, Travels on the, Wallace (A. R.) is",JACK,6d.,0.025,8vo.,"Amazon, Travels on the, Wallace (A. R.) is. net May II Ambassador of Loss, Abbott (G. F.) Os... Sep. II Ambler (B. G.)- Alfred, Lord Tennyson, his homes and haunts. 8vo. 8 X54, pp. 96, bds. IS, 6d. net (Pilgrim books)...... JACK, June 11",,,,June 11,net
"American annual of photography (The), 1911, 8yo.. swd. 3s. net . DAWBARN, Jan. 11",,,American annual of photography (The),DAWBARN,3s.,0.15,,"American annual of photography (The), 1911, 8yo.. swd. 3s. net . DAWBARN, Jan. 11",,,,Jan. 11,net
