entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"A was an archer. Illus. by D. Pailthorpe. 4to. swd. 2s. net .HARRAP, Mar. '20",,,A was an archer,HARRAP,2s.,4to.,"A was an archer. Illus. by D. Pailthorpe. 4to. swd. 2s. net .HARRAP, Mar. '20",,,,Mar. '20,1920,net
"A B C universal commercial telegraphic code. Proprietors, E. M. M. Clauson-Thue and F. C. E. Faulkner. 6th ed. Ed. by William Droege. Ryl. 8vo. 94 x 61, pp. 1,542, 40s. net EDEN FISHER, Mar. '20",,,A B C universal commercial telegraphic code,EDEN FISHER,40s.,8vo.,"A B C universal commercial telegraphic code. Proprietors, E. M. M. Clauson-Thue and F. C. E. Faulkner. 6th ed. Ed. by William Droege. Ryl. 8vo. 94 x 61, pp. 1,542, 40s. net EDEN FISHER, Mar. '20",,,,Mar. '20,1920,net
"Aaland 1slands, Question of the : Reference to the League of Nations. 2d. net H.M.S.O., Aug. '20",,,Aaland,H.M.S.O.,2d.,,"Aaland Islands, Question of the : Reference to the League of Nations. 2d. net H.M.S.O., Aug. '20",,,,Aug. '20,1920,net
"Abbay (R., Rev. Our orchards : letters to the East Anglian Daily Times, 1892-1920. With notes. 8vo. 81 x 54, pp. 35, swd. 1s. net HARRISON, June'20",,,"Abbay (R., Rev",HARRISON,1s.,8vo.,"Abbay (R., Rev. Our orchards : letters to the East Anglian Daily Times, 1892-1920. With notes. 8vo. 81 x 54, pp. 35, swd. Is. net HARRISON, June'20",,,,June'20,1920,net
"Abdul Majid-Malay self-taught by the Natural method, with phonetic pronunciation. Cr. 8vo. 7 X 4, pp. 120, 4s. net, swd. 33. net. (Marl- borough's Self-taught ser.) MARLBOROUGH, July'20",,,"Abdul Majid-Malay self-taught by the Natural method, with phonetic pronunciation",MARLBOROUGH,,8vo.,"Abdul Majid-Malay self-taught by the Natural method, with phonetic pronunciation. Cr. 8vo. 7 X 4, pp. 120, 4s. net, swd. 33. net. (Marl- borough's Self-taught ser.) MARLBOROUGH, July'20",,,,July'20,1920,
"Acadomy architecture. Vol. 51, 1920. Ryl. 8vo. bds. ios. ; swd. 7s. 6d. net. BATSFORD, Sep. '20",,,Acadomy architecture,BATSFORD,7s. 6d.,8vo.,"Acadomy architecture. Vol. 51, 1920. Ryl. 8vo. bds. ios. ; swd. 7s. 6d. net. BATSFORD, Sep. '20",,,,Sep. '20,1920,net
"Accountants and Auditors (Soc. of Incorp.)-Year Book: comprising list of menibers, articles and by-laws. 77X5, pp. 534, 2s. 6d. SOCIETY, Apr. '20",,,"Year Book: comprising list of menibers, articles and by-laws",SOCIETY,2s. 6d.,,"Accountants and Auditors (Soc. of Incorp.)-Year Book: comprising list of menibers, articles and by-laws. 77X5, pp. 534, 25. 6d. SOCIETY, Apr. '20",,"['Accountants', 'Auditors (Soc. of Incorp.)']",,Apr. '20,1920,
"Ack worth cousins : a comedietta of a friendly character in two scenes. By D. and M. Cr. 8vo. swd. is. net ....SWARTHMORE PR., Apr. 20",,,Ack worth cousins : a comedietta of a friendly character in two scenes,SWARTHMORE PR.,,8vo.,"Ack worth cousins : a comedietta of a friendly character in two scenes. By D. and M. Cr. 8vo. swd. is. net ....SWARTHMORE PR., Apr. 20",,,,Apr. 20,1920,
"Acts-Public General Acts, 1919. 6s. net H.M.S.O., Aug. '20",,,Acts-Public General Acts,H.M.S.O.,6s.,,"Acts-Public General Acts, 1919. 6s. net H.M.S.O., Aug. '20",,,,Aug. '20,1920,net
"Acts—Index to the Public General Acts, 1919. gd, net.. ..H.M.S.O., July '20",,,Acts—Index to the Public General Acts,H.M.S.O.,,,"Acts—Index to the Public General Acts, 1919. gd, net.. ..H.M.S.O., July '20",,,,July '20,1920,
"Acts—Local and private Acts, 1919 : with index. 8vo. 4s. net. .H.M.S.O., Aug. '20",,,Acts—Local and private Acts,H.M.S.O.,4s.,8vo.,"Acts—Local and private Acts, 1919 : with index. 8vo. 4s. net. .H.M.S.O., Aug. '20",,,,Aug. '20,1920,net
"Acts--Local and private : Ammanford gas, is. 3d. net; Arbroath Harbour order, 3s. 6d. net ; Edinburgh Corp. order, 6d. net ; Fraserburgh harbour (new works) order, 9d. net ; Granton harbour order, 3d. net ; Police and Fire Brigade pension funds (City of Cardiff), 3d. net ; Scottish Amicable Life Assurance Soc.'s order, 6d. net; Stretford U.D.C., 58. net ; West Hampshire water order, 3d. net; Wick Harbour order, 9d. net....H.M.S.O., Jan. '20",,,"Acts--Local and private : Ammanford gas, is",H.M.S.O.,9d.,,"Acts--Local and private : Ammanford gas, is. 3d. net; Arbroath Harbour order, 3s. 6d. net ; Edinburgh Corp. order, 6d. net ; Fraserburgh harbour (new works) order, 9d. net ; Granton harbour order, 3d. net ; Police and Fire Brigade pension funds (City of Cardiff), 3d. net ; Scottish Amicable Life Assurance Soc.'s order, 6d. net; Stretford U.D.C., 58. net ; West Hampshire water order, 3d. net; Wick Harbour order, 9d. net....H.M.S.O., Jan. '20",,,,Jan. '20,1920,net
"Acts.-Local and private. Glasgow water order confirm., 2s. 3d. net ; Greenock improvement order confirin., 2s. net; Military Knights of Windsor, 3d. net; Ministry of Health pro- visional orders confirm. (No. 1), 3d. net ; Swinton and Mexborough Gas Board, is. net H.M.S.O., Feb. '20",,,Acts,H.M.S.O.,,,"Acts.-Local and private. Glasgow water order confirm., 25. 3d. net ; Greenock improvement order confirin., 25. net; Military Knights of Windsor, 3d. net; Ministry of Health pro- visional orders confirm. (No. 1), 3d. net ; Swinton and Mexborough Gas Board, is. net H.M.S.O., Feb. '20",,,,Feb. '20,1920,
"Acts.- Local and private : Cannock U.D.C., s. 9d. net; Gosport and Alverstoke U.D.C., 4s. 6d. net; Manchester Corporation, 15s. 6d. net; St. Just (Falmouth) ocean wharves and railways, 3s. 9d. net; Shropshire, Worcester- shire and Staffordshire electric power, 9d, net ; Walsall Corporation, is. gd. net H.M.S.O., Mar. '20",,,Acts,H.M.S.O.,,,"Acts.- Local and private : Cannock U.D.C., IS. 9d. net; Gosport and Alverstoke U.D.C., 45. 6d. net; Manchester Corporation, 155. 6d. net; St. Just (Falmouth) ocean wharves and railways, 3s. 9d. net; Shropshire, Worcester- shire and Staffordshire electric power, 9d, net ; Walsall Corporation, is. gd. net H.M.S.O., Mar. '20",,,,Mar. '20,1920,
"Acts.-Army and Air Force (annual), 2d. ; Trea- ties of Peace (Austria and Bulgaria), id. net H.M.S.O., May'20",,,Acts,H.M.S.O.,,,"Acts.-Army and Air Force (annual), 2d. ; Trea- ties of Peace (Austria and Bulgaria), id. net H.M.S.O., May'20",,,,May'20,1920,
"Acts.-Imperial War Museum, id.; Increase of rent and mortgage interest (restrictions), 4d. ; Representation of the people (No. 2), id. net H.M.S.O., July '20",,,Acts,H.M.S.O.,,,"Acts.-Imperial War Museum, id.; Increase of rent and mortgage interest (restrictions), 4d. ; Representation of the people (No. 2), id. net H.M.S.O., July '20",,,,July '20,1920,
