entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Abel (Mary H.)-Successful family life on the moderate income. 8×5, pp. 263, 8s. 6d. net. (Family life ser.) .LIPPINCOTT, Nov. '21",Abel,Mary H.,Successful family life on the moderate income,LIPPINCOTT,,,"Abel (Mary H.)-Successful family life on the moderate income. 8×5, pp. 263, 8s. 6d. net. (Family life ser.) .LIPPINCOTT, Nov. '21",Mary H. Abel,['Abel (Mary H.)'],,Nov. '21,1921,
"Aberdeen University-Roll of service in the Great War, 1914-1919. Edit. by Mabel Desborough Allardyce. 101x73, pp. 451 ABERDEEN UNIV. PR., Oct. '21",,,Aberdeen University-Roll of service in the Great War,ABERDEEN UNIV. PR.,,,"Aberdeen University-Roll of service in the Great War, 1914-1919. Edit. by Mabel Desborough Allardyce. 101x73, pp. 451 ABERDEEN UNIV. PR., Oct. '21",,,,Oct. '21,1921,
"Accidents (Street)-Return, 1920. id. H.M.S.O., Apr. '21",Accidents,Street,Return,H.M.S.O.,,,"Accidents (Street)-Return, 1920. id. H.M.S.O., Apr. '21",Street Accidents,['Accidents (Street)'],,Apr. '21,1921,
"Acts of Parliament-Public and General Acts. 1920, passed in the second session of the 31st Parlia- ment of the United Kingdom of Great Britain and Ireland, with table of titles and index, 6s. net ..H.M.S.O., Feb. '21",,,Acts of Parliament-Public and General Acts,H.M.S.O.,6s.,,"Acts of Parliament-Public and General Acts. 1920, passed in the second session of the 31st Parlia- ment of the United Kingdom of Great Britain and Ireland, with table of titles and index, 6s. net ..H.M.S.O., Feb. '21",,,,Feb. '21,1921,net
"Acts of Parliament-Public and General Acts of the 2nd Session of the 31st Parliament, with table of the titles and index, 6d. H.M.S.O., Mar. '21",,,Acts of Parliament-Public and General Acts of the,H.M.S.O.,6d.,,"Acts of Parliament-Public and General Acts of the 2nd Session of the 31st Parliament, with table of the titles and index, 6d. H.M.S.O., Mar. '21",,,,Mar. '21,1921,
"Acts of Parliament-Administration of justice, 2d.; Agriculture, 6d. ; Air navigation, 2d.; Appropriation (No. 2), 2d.; Convocation of the Clergy Measure (No. 1), 1d.; Criminal injuries (Ireland), id.; Defence of the Realm (acquisi- tion of land), 1d.; Dyestuffs (import regula- tion), 1d.; Expiring laws continuance, id.; Government of India Act (Consolidated) as Amended by the Act of 1919, 2s. 6d.; Govern- ment of Ireland, 1s.; Housing (Scotland), 2d. ; Juvenile Courts (Metropolis), 1d.; Married women's property (Scotland), id.; Official secrets, 2d.; Public works loans, 1d.; Registrar General (Scotland), 1d.; Roads, 3d.; Unem- ployment Insurance (temporary provisions amend.), id. (all net)......H.M.Š.O., Jan. '21",,,Acts of Parliament-Administration of justice,H.M.Š.O.,,,"Acts of Parliament-Administration of justice, 2d.; Agriculture, 6d. ; Air navigation, 2d.; Appropriation (No. 2), 2d.; Convocation of the Clergy Measure (No. 1), Id.; Criminal injuries (Ireland), id.; Defence of the Realm (acquisi- tion of land), 1d.; Dyestuffs (import regula- tion), Id.; Expiring laws continuance, id.; Government of India Act (Consolidated) as Amended by the Act of 1919, 2s. 6d.; Govern- ment of Ireland, Is.; Housing (Scotland), 2d. ; Juvenile Courts (Metropolis), 1d.; Married women's property (Scotland), id.; Official secrets, 2d.; Public works loans, Id.; Registrar General (Scotland), 1d.; Roads, 3d.; Unem- ployment Insurance (temporary provisions amend.), id. (all net)......H.M.Š.O., Jan. '21",,,,Jan. '21,1921,
"Acts of Parliament-Local and Private: Aberdeen Harbour, 3d.; Baptist Chapels Scheme, 9d.; Bristol Corporation, 3s. 9d.; Brodick, Lamlash, Loch Ranza, and Whiting Bay Piers Order, s. 3d.; Coventry Corporation, 5s.; Derwent Valley, Calver and Bakewell Railway, 3s.; Dumbarton Burgh and County Tramways order, 6d.; Durham County Water Board, 2s. 6d.; Erith improvement, 3s. 6d.; Falkirk and District Tramways order, 3d.; Glasgow Trades House order, 9d.; Greenock Port and Harbours order, 9d.; Huddersfield Corporation (general powers), 3s. 9d.; Hulme Trust Estates (non-educational) scheme, 3d.; Lanarkshire Tramways order, 1s.; Little Longstone Con- gregational Chapel scheme, 6d.; Llanelly Corporation water, 4s.; Local Government Board (Ireland) Provisional orders (No. 4), 6d. ; Manchester Corporation, 5s. 9d.; Norwich Corporation, 4s.; Paisley Corporation (Inchin- nan Opening Bridge, 2s.; Pier and Harbour order (No. 3), 2s.; (No. 4), s. 3d. H.M.S.O., Jan. '21",,,Acts of Parliament-Local and Private: Aberdeen Harbour,H.M.S.O.,3d.,,"Acts of Parliament-Local and Private: Aberdeen Harbour, 3d.; Baptist Chapels Scheme, 9d.; Bristol Corporation, 3s. 9d.; Brodick, Lamlash, Loch Ranza, and Whiting Bay Piers Order, IS. 3d.; Coventry Corporation, 5s.; Derwent Valley, Calver and Bakewell Railway, 3S.; Dumbarton Burgh and County Tramways order, 6d.; Durham County Water Board, 2s. 6d.; Erith improvement, 3s. 6d.; Falkirk and District Tramways order, 3d.; Glasgow Trades House order, 9d.; Greenock Port and Harbours order, 9d.; Huddersfield Corporation (general powers), 3s. 9d.; Hulme Trust Estates (non-educational) scheme, 3d.; Lanarkshire Tramways order, Is.; Little Longstone Con- gregational Chapel scheme, 6d.; Llanelly Corporation water, 4s.; Local Government Board (Ireland) Provisional orders (No. 4), 6d. ; Manchester Corporation, 5s. 9d.; Norwich Corporation, 4s.; Paisley Corporation (Inchin- nan Opening Bridge, 2s.; Pier and Harbour order (No. 3), 25.; (No. 4), IS. 3d. H.M.S.O., Jan. '21",,,,Jan. '21,1921,
"Acts of Parliament-Local and Private: Derwent Valley water, 3s. 6d.; London County Council (tramways and improvements), 1s. net H.M.S.O., Feb. '21",,,Acts of Parliament-Local and Private: Derwent Valley water,H.M.S.O.,1s.,,"Acts of Parliament-Local and Private: Derwent Valley water, 3s. 6d.; London County Council (tramways and improvements), Is. net H.M.S.O., Feb. '21",,,,Feb. '21,1921,net
"Acts of Parliament-Consolidated Fund (No. 1), id.; Unemployment insurance, id. H.M.S.O., Mar. '21",,,Acts of Parliament-Consolidated Fund ,H.M.S.O.,,,"Acts of Parliament-Consolidated Fund (No. 1), id.; Unemployment insurance, id. H.M.S.O., Mar. '21",,,,Mar. '21,1921,
"Acts of Parliament-Local and Private: Port of London (consolidation), 18s. 3d. net H.M.S.O., Mar. '21",,,Acts of Parliament-Local and Private: Port of London (consolidation),H.M.S.O.,18s. 3d.,,"Acts of Parliament-Local and Private: Port of London (consolidation), 18s. 3d. net H.M.S.O., Mar. '21",,,,Mar. '21,1921,net
"Acts of Parliament-Children, 1d.; Coal Mines (decontrol), 1d.; Consolidated Fund (No. 2), id.; German Reparation (recovery), id.; Ministries of Munitions and Shipping (cessation), id.; Tribunals of Inquiry (evidence), id. H.M.S.O., Apr. '21",,,Acts of Parliament-Children,H.M.S.O.,,,"Acts of Parliament-Children, 1d.; Coal Mines (decontrol), Id.; Consolidated Fund (No. 2), id.; German Reparation (recovery), id.; Ministries of Munitions and Shipping (cessation), id.; Tribunals of Inquiry (evidence), id. H.M.S.O., Apr. '21",,,,Apr. '21,1921,
"Acts of Parliament-Army and Air Force (annual), 1d.; Mr. Speaker's retirement, 1d.; Public Health (tuberculosis), 1d.; Treaty of Peace (Hungary), id. .H.M.S.O., May '21",,,Acts of Parliament-Army and Air Force (annual),H.M.S.O.,,,"Acts of Parliament-Army and Air Force (annual), Id.; Mr. Speaker's retirement, Id.; Public Health (tuberculosis), 1d.; Treaty of Peace (Hungary), id. .H.M.S.O., May '21",,,,May '21,1921,
"Acts of Parliament-Local and Private: Bristol waterworks, s. 3d.; Cottage Orders (No. 1), 3s. 9d. net.. ..H.M.S.O., June '21",,,"Acts of Parliament-Local and Private: Bristol waterworks, s",H.M.S.O.,3s. 9d.,,"Acts of Parliament-Local and Private: Bristol waterworks, IS. 3d.; Cottage Orders (No. 1), 3s. 9d. net.. ..H.M.S.O., June '21",,,,June '21,1921,net
