entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"Acts-Local and private: Commercial gas, s.; Cowdenbeath water order confirmation, 3s 6d. ; Dunfermline District water order confirmation 2s. 3d.; Gas and water orders confirmation, 28.; Gas orners confirmation, is. 6d. ; London United Tramways, is. 9d.; Portsea gas, 6d. ; South Surburban gas, 2s. 3d. H.M. STATIONERY OFF., Mar. '19",,,"Acts-Local and private: Commercial gas, s",H.M. STATIONERY OFF.,2s. 3d.,,"Acts-Local and private: Commercial gas, IS.; Cowdenbeath water order confirmation, 3s 6d. ; Dunfermline District water order confirmation 2s. 3d.; Gas and water orders confirmation, 28.; Gas orners confirmation, is. 6d. ; London United Tramways, is. 9d.; Portsea gas, 6d. ; South Surburban gas, 2s. 3d. H.M. STATIONERY OFF., Mar. '19",,,,Mar. '19,
"Acts Army (annual), 2d.; Civil Contingencies Fund, id.; Consolidated Fund (No. 1), 1d.; Increase of rent and mortgage interest (res- trictions), 1d.; Intestate husband's estate (Scotland), 1d.; Local elections (expenses), 1d.; Parliamentary elections (soldiers), id.; Representation of the people (returning officers' expenses), 1d.; Summons and process servers' fees (Ireland), id.; War charities (Scotland), id. H.M. STATIONERY OFF., Apr. '19",Acts Army,annual,2d,H.M. STATIONERY OFF.,,,"Acts Army (annual), 2d.; Civil Contingencies Fund, id.; Consolidated Fund (No. 1), Id.; Increase of rent and mortgage interest (res- trictions), Id.; Intestate husband's estate (Scotland), Id.; Local elections (expenses), Id.; Parliamentary elections (soldiers), id.; Representation of the people (returning officers' expenses), Id.; Summons and process servers' fees (Ireland), id.; War charities (Scotland), id. H.M. STATIONERY OFF., Apr. '19",annual Acts Army,['Acts Army (annual)'],,Apr. '19,
"Acts Local and private: Calthorpe Estate, s.; Hamilton Estates, 1s. 9d.; Ipswich Dock, 2s. 6d. ; Londonderry and Lough Swilly Railway, 2s. 6d.; Londonderry Corporation, 9s.; Scarisbrick Settlement, 3s. 6d. H.M. STATIONERY OFF., Apr. '19",,,"Acts Local and private: Calthorpe Estate, s",H.M. STATIONERY OFF.,3s. 6d.,,"Acts Local and private: Calthorpe Estate, IS.; Hamilton Estates, Is. 9d.; Ipswich Dock, 2s. 6d. ; Londonderry and Lough Swilly Railway, 2s. 6d.; Londonderry Corporation, 9s.; Scarisbrick Settlement, 3s. 6d. H.M. STATIONERY OFF., Apr. '19",,,,Apr. '19,
"Acts Criminal injuries (Ireland), id.; Naval, Military, and Air Force Service, 1d. ; H.M. STATIONERY OFF., May '19",Acts Criminal injuries,Ireland,"Naval, Military, and Air Force Service",H.M. STATIONERY OFF.,,,"Acts Criminal injuries (Ireland), id.; Naval, Military, and Air Force Service, Id. ; H.M. STATIONERY OFF., May '19",Ireland Acts Criminal injuries,['Acts Criminal injuries (Ireland)'],,May '19,
"Acts Local and private: Lancaster Corporation, 5s. 9d; Sheffield Corporation (consolidation) 24s. 3d.; Smith Estate, 3s. H.M. STATIONERY OFF., May '19",,,Acts Local and private: Lancaster Corporation,H.M. STATIONERY OFF.,3s.,,"Acts Local and private: Lancaster Corporation, 5s. 9d; Sheffield Corporation (consolidation) 24s. 3d.; Smith Estate, 3s. H.M. STATIONERY OFF., May '19",,,,May '19,
"Acts-Education (Scotland) (superannuation) id.; Local Government (Ireland), 2d. Ministry of Health, 2d.; Public health (medical treatment of children) (Ireland), id.; Scottish Board of Health, 2d.; Wages (temporary regulation) extension, id. H.M. STATIONERY OFF., June '19",Acts-Education,Scotland,Local Government (Ireland),H.M. STATIONERY OFF.,,,"Acts-Education (Scotland) (superannuation) id.; Local Government (Ireland), 2d. Ministry of Health, 2d.; Public health (medical treatment of children) (Ireland), id.; Scottish Board of Health, 2d.; Wages (temporary regulation) extension, id. H.M. STATIONERY OFF., June '19",Scotland Acts-Education,['Acts-Education (Scotland)'],,June '19,
"Acts Local and private: Glasgow and South Western Railway (Ayr Harbour transfer) confirmation, 1s. 3d.; Leith harbour and docks order confirmation, 3s. 6d.; North British Railway order confirmation, 9d.; Standard Life Assurance Company confirma- tion, 3d. ..H.M. STATIONERY OFF., June '19",,,Acts Local and private: Glasgow and South Western Railway (Ayr Harbour transfer) confirmation,H.M. STATIONERY OFF.,3d.,,"Acts Local and private: Glasgow and South Western Railway (Ayr Harbour transfer) confirmation, Is. 3d.; Leith harbour and docks order confirmation, 3s. 6d.; North British Railway order confirmation, 9d.; Standard Life Assurance Company confirma- tion, 3d. ..H.M. STATIONERY OFF., June '19",,,,June '19,
"Acts-Local and private. Bankers Guarantee Trust (transfer), 9d.; Belfast-Harbour, 3d.; Brentford Gas, 9d.; Dover Harbour, 3d.; Mersey Docks and Harbour Bd., 6d.; New- port Harbour, 3d.; South Shields gas, 2s.; Swansea Harbour, 6d. H.M. STATIONERY OFF., July '19",,,Acts-Local and private,H.M. STATIONERY OFF.,6d.,,"Acts-Local and private. Bankers Guarantee Trust (transfer), 9d.; Belfast-Harbour, 3d.; Brentford Gas, 9d.; Dover Harbour, 3d.; Mersey Docks and Harbour Bd., 6d.; New- port Harbour, 3d.; South Shields gas, 2s.; Swansea Harbour, 6d. H.M. STATIONERY OFF., July '19",,,,July '19,
"Acts-Anglo-French treaty (defence of France), id.; Anthrax prevention, id.; Courts (emer- gency powers), 1d.; Disabled men (facilities for employment), id.; Expiring laws continu- ance, id.; Finance, 3d.; Govt. of the Soudan loan, id.; Grant of administration (bonds), 1d.; Housing, town-planning, &c. 6d. ; Law agents apprenticeship (war service) (Scotland), id.; Matrimonial causes (Dominions troops), 1d.; National Health Insurance, id.; Official Solicitor, id.; Profiteering, id.; Public notar- ies (articled clerks), id.; Restoration of pre-war practices, id.; Solicitors (articled clerks), id.; Statement of rates, id.; Treaty of Peace, id. ; War loan, id.; Weights and measures (leather measurement), id.; West India Court of Appeal, id. H.M. STATIONERY OFFICE, Aug.'19",Acts-Anglo-French treaty,defence of France,"Anthrax prevention, id.; Courts (emer- gency powers)",H.M. STATIONERY OFFICE,,,"Acts-Anglo-French treaty (defence of France), id.; Anthrax prevention, id.; Courts (emer- gency powers), Id.; Disabled men (facilities for employment), id.; Expiring laws continu- ance, id.; Finance, 3d.; Govt. of the Soudan loan, id.; Grant of administration (bonds), Id.; Housing, town-planning, &c. 6d. ; Law agents apprenticeship (war service) (Scotland), id.; Matrimonial causes (Dominions troops), Id.; National Health Insurance, id.; Official Solicitor, id.; Profiteering, id.; Public notar- ies (articled clerks), id.; Restoration of pre-war practices, id.; Solicitors (articled clerks), id.; Statement of rates, id.; Treaty of Peace, id. ; War loan, id.; Weights and measures (leather measurement), id.; West India Court of Appeal, id. H.M. STATIONERY OFFICE, Aug.'19",defence of France Acts-Anglo-French treaty,['Acts-Anglo-French treaty (defence of France)'],,Aug.'19,
"Acts Public General Acts, 1918, with index, &c. 3s. net......H.M. STATIONERY OFF., Sep. '19",,,Acts Public General Acts,H.M. STATIONERY OFF.,3s.,,"Acts Public General Acts, 1918, with index, &c. 3s. net......H.M. STATIONERY OFF., Sep. '19",,,,Sep. '19,net
"Acts Acquisition of land (assessment of compen- sation), 2d.; Agricultural land sales (restriction of notices to quit), id.; Animals (anaesthetics), 1d.; British Mercantile Marine uniform, id.; Checkweighing in various industries, 2d.; Coal mines, 1d.; Consolidated Fund (No. 2,) 1d.; Education (compliance with conditions of grant), id.; Forestry, 2d. ; Housing (Ireland), 3d.; Housing, town-planning, &c. (Scotland), 6d. ; Intestate movable succession (Scotland), id.; Labourers (Ireland), id.; Land settlement (facilities), 3d.; Merchant shipping (wireless telegraphy), 1d.; Ministry of Transport, 4d.; Police, 2d.; Public works loans, id.; Retired officers (civil employment), 1d.; Solicitors, id.; War pensions (adminis. provisions), id.; Welsh Church (temporalities), id. ........H.M. STATIONERY OFF., Sept.'19",,,Acts Acquisition of land (assessment of compen- sation),H.M. STATIONERY OFF.,,,"Acts Acquisition of land (assessment of compen- sation), 2d.; Agricultural land sales (restriction of notices to quit), id.; Animals (anaesthetics), Id.; British Mercantile Marine uniform, id.; Checkweighing in various industries, 2d.; Coal mines, Id.; Consolidated Fund (No. 2,) Id.; Education (compliance with conditions of grant), id.; Forestry, 2d. ; Housing (Ireland), 3d.; Housing, town-planning, &c. (Scotland), 6d. ; Intestate movable succession (Scotland), id.; Labourers (Ireland), id.; Land settlement (facilities), 3d.; Merchant shipping (wireless telegraphy), Id.; Ministry of Transport, 4d.; Police, 2d.; Public works loans, id.; Retired officers (civil employment), Id.; Solicitors, id.; War pensions (adminis. provisions), id.; Welsh Church (temporalities), id. ........H.M. STATIONERY OFF., Sept.'19",,,,Sept.'19,
"Harbour, 6d.; Plumptre Hospital charity scheme, 9d.; Rotherham Corporation, 6d. ; Scottish Widows' Fund, 6d.; Stourport gas, 2s. 6d.; Sunderland gas, 3s. 6d.; Tramways orders, 3s. 3d.; Tyne improvement, 3d.; Victoria Infirmary of Glasgow Act, 1888 (amend.), 6d.; Wells Particular Baptist and Congregational Chapels charities scheme, 9d. H.M. STATIONERY OFF., Oct. '19",,,Harbour,H.M. STATIONERY OFF.,9d.,,"Harbour, 6d.; Plumptre Hospital charity scheme, 9d.; Rotherham Corporation, 6d. ; Scottish Widows' Fund, 6d.; Stourport gas, 2s. 6d.; Sunderland gas, 3s. 6d.; Tramways orders, 3s. 3d.; Tyne improvement, 3d.; Victoria Infirmary of Glasgow Act, 1888 (amend.), 6d.; Wells Particular Baptist and Congregational Chapels charities scheme, 9d. H.M. STATIONERY OFF., Oct. '19",,,,Oct. '19,
"Acts Local and private. Beccles Waterworks, 3d.; Bridge of Allan water, 1s. ; City of London Police, 3d.; Commons regulation (Coity Wallia), 9d.; D. H. Evans & Co., Ltd., 9d.; Hartlepool gas and water, 1s. 9d.; Legal and General Assurance Soc., 1s. 6d.; Local Govt. Bd. confirmation, No. 3, 1s. 9d.; No. 6, 6d. ; do. (Ireland), County of Cork, &c., 6d. ; Mans- field Railway, 1s. 6d.; Pallin's divorce, n.p. ; Pier and harbour confirm., 1s. 3d.; Reigate Corporation, 6d. ; Stoney's divorce, n.p.; Tees Conservancy, 3d.; Wear Navigation, 3d. H.M. STATIONERY OFF., Sep. '19",,,Acts Local and private,H.M. STATIONERY OFF.,3d.,,"Acts Local and private. Beccles Waterworks, 3d.; Bridge of Allan water, Is. ; City of London Police, 3d.; Commons regulation (Coity Wallia), 9d.; D. H. Evans & Co., Ltd., 9d.; Hartlepool gas and water, Is. 9d.; Legal and General Assurance Soc., Is. 6d.; Local Govt. Bd. confirmation, No. 3, Is. 9d.; No. 6, 6d. ; do. (Ireland), County of Cork, &c., 6d. ; Mans- field Railway, Is. 6d.; Pallin's divorce, n.p. ; Pier and harbour confirm., Is. 3d.; Reigate Corporation, 6d. ; Stoney's divorce, n.p.; Tees Conservancy, 3d.; Wear Navigation, 3d. H.M. STATIONERY OFF., Sep. '19",,,,Sep. '19,
"Acts-Local and private. Blyth Harbour, 3d., Bd. of Educ. scheme (Crossley and Porter Orphan Home and School) confirm., 1s.; Bristol Corporation, 3d.; Cavendish Clarke divorce (private); Dublin Port and Docks, 3d.; Edinburgh and Leith Corporation gas order confirm., 3d.; Northampton gas, is. 6d.; St. George's Church, Oxford, 9d. .... ....... H.M. STATIONERY OFFICE, Aug. '19",,,Acts-Local and private,H.M. STATIONERY OFFICE,9d.,,"Acts-Local and private. Blyth Harbour, 3d., Bd. of Educ. scheme (Crossley and Porter Orphan Home and School) confirm., Is.; Bristol Corporation, 3d.; Cavendish Clarke divorce (private); Dublin Port and Docks, 3d.; Edinburgh and Leith Corporation gas order confirm., 3d.; Northampton gas, is. 6d.; St. George's Church, Oxford, 9d. .... ....... H.M. STATIONERY OFFICE, Aug. '19",,,,Aug. '19,
"Adami (J. George)-War story of the Canadian Army Medical Corps. Vol. 1, The First Con- tingent (to the Autumn of 1915). 7×5, pp. 286, 5s. net COLOUR, LTD.; ROLLS HO. PUBG. CO., Jan. '19",Adami,J. George,War story of the Canadian Army Medical Corps,ROLLS HO. PUBG. CO.,,,"Adami (J. George)-War story of the Canadian Army Medical Corps. Vol. 1, The First Con- tingent (to the Autumn of 1915). 7×5, pp. 286, 5s. net COLOUR, LTD.; ROLLS HO. PUBG. CO., Jan. '19",J. George Adami,['Adami (J. George)'],,Jan. '19,
"Adams (F.)-My nursery story book. 2s. net. (Popular Board books) .....BLACKIE, July '19",Adams,F.,My nursery story book,BLACKIE,,,"Adams (F.)-My nursery story book. 2s. net. (Popular Board books) .....BLACKIE, July '19",F. Adams,['Adams (F.)'],,July '19,
"Admiralty Flags of all nations. Errata No. 1 (Gratis to purchasers of the Book) H.M. STATIONERY OFF., May '19",,,Admiralty Flags of all nations,H.M. STATIONERY OFF.,,,"Admiralty Flags of all nations. Errata No. 1 (Gratis to purchasers of the Book) H.M. STATIONERY OFF., May '19",,,,May '19,
"Admiralty Hydrographic. Africa pilot, Pt. III. 1915 Rev. supp. (2), 1919, POTTER, Mar. '19.",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Africa pilot, Pt. III. 1915 Rev. supp. (2), 1919, POTTER, Mar. '19.",,,,Mar. '19,
"Admiralty Hydrographic. Alt-azimuth tables. Latitude limits, 30°-64°; declination limits, 0° to 24° (To replace Burdwood's Azimuth Tables), 6s..... Admiralty Hydrographic. North coasts of Russia, Vol. I: supp. (1), 1919. supp. (4), 1919. .POTTER, Feb. '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Alt-azimuth tables. Latitude limits, 30°-64°; declination limits, 0° to 24° (To replace Burdwood's Azimuth Tables), 6s..... Admiralty Hydrographic. North coasts of Russia, Vol. I: supp. (1), 1919. supp. (4), 1919. .POTTER, Feb. '19",,,,Feb. '19,
"Admiralty Hydrographic. Arctic pilot. Vol. 3, 1915 Rev. suppl. (2), 1919 J. D. POTTER, Sep. '19",,,Admiralty Hydrographic,J. D. POTTER,,,"Admiralty Hydrographic. Arctic pilot. Vol. 3, 1915 Rev. suppl. (2), 1919 J. D. POTTER, Sep. '19",,,,Sep. '19,
"Admiralty Hydrographic. Bengal, Bay of, pilot, 1910: Rev. supp. (3), 1918 POTTER, Feb. '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Bengal, Bay of, pilot, 1910: Rev. supp. (3), 1918 POTTER, Feb. '19",,,,Feb. '19,
"Admiralty Hydrographic. Black Sea pilot, comprising the Dardanelles, Sea of Marmora, Bosporus, Black Sea, and Sea of Azov. 6th ed. 1908 (Repr. 1918), 6s... POTTER, Jan. '19",,,Admiralty Hydrographic,POTTER,6s.,,"Admiralty Hydrographic. Black Sea pilot, comprising the Dardanelles, Sea of Marmora, Bosporus, Black Sea, and Sea of Azov. 6th ed. 1908 (Repr. 1918), 6s... POTTER, Jan. '19",,,,Jan. '19,
"Admiralty Hydrographic. Central America and United States (West Coasts) pilot, 1916: Rev. supp., 1919 ..POTTER, May '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Central America and United States (West Coasts) pilot, 1916: Rev. supp., 1919 ..POTTER, May '19",,,,May '19,
"Admiralty-Hydrographic. Channel pilot, Pt. 3, 1917 Rev. suppl., 1919. J. D. POTTER, July '19",,,Admiralty-Hydrographic,J. D. POTTER,,,"Admiralty-Hydrographic. Channel pilot, Pt. 3, 1917 Rev. suppl., 1919. J. D. POTTER, July '19",,,,July '19,
"Admiralty Hydrographic. Charts, plans, and sailing directions, Admiralty. Catalogue of, 1919. [Corrected to Jan. 1, 1919] POTTER, May '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Charts, plans, and sailing directions, Admiralty. Catalogue of, 1919. [Corrected to Jan. 1, 1919] POTTER, May '19",,,,May '19,
"Admiralty Hydrographic. China Sea pilot. Vol. 2, 1915: Rev. supp. (2), 1919. Vol. 4, 1912: Rev. supp. (3), 1919..POTTER, Apr. '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. China Sea pilot. Vol. 2, 1915: Rev. supp. (2), 1919. Vol. 4, 1912: Rev. supp. (3), 1919..POTTER, Apr. '19",,,,Apr. '19,
"Admiralty-Hydrographic. China Sea pilot, Vol. 3, 1912 Suppl. no. 4, 1919 J. D. POTTER, July'19",,,Admiralty-Hydrographic,J. D. POTTER,,,"Admiralty-Hydrographic. China Sea pilot, Vol. 3, 1912 Suppl. no. 4, 1919 J. D. POTTER, July'19",,,,July'19,
"Admiralty Hydrographic. Distance tables. Vol. 4, Western shores of the Atlantic Ocean from Cape Farewell to Cape Horn, including Hudson Bay, the Gulf of Mexico, and the Caribbean Sea; with cross-Atlantic distances. 2nd ed., 4s.. .POTTER, Feb. '19",,,Admiralty Hydrographic,POTTER,4s.,,"Admiralty Hydrographic. Distance tables. Vol. 4, Western shores of the Atlantic Ocean from Cape Farewell to Cape Horn, including Hudson Bay, the Gulf of Mexico, and the Caribbean Sea; with cross-Atlantic distances. 2nd ed., 4S.. .POTTER, Feb. '19",,,,Feb. '19,
"Admiralty Hydrographic. Distance tables. Vol. 5, Western shores of the Pacific ocean, &c. 3s. 6d. net. . J. D. POTTER, Aug. '19",,,Admiralty Hydrographic,J. D. POTTER,3s. 6d.,,"Admiralty Hydrographic. Distance tables. Vol. 5, Western shores of the Pacific ocean, &c. 3s. 6d. net. . J. D. POTTER, Aug. '19",,,,Aug. '19,net
"Admiralty Hydrographic. England pilot, 1910. West Coast: Suppl. no. 5, 1919 ............ ..... J. D. POTTER, Sep. '19",,,Admiralty Hydrographic,J. D. POTTER,,,"Admiralty Hydrographic. England pilot, 1910. West Coast: Suppl. no. 5, 1919 ............ ..... J. D. POTTER, Sep. '19",,,,Sep. '19,
"Admiralty Hydrographic. Irish Coast pilot 1911: Suppl. no. 5, 1919 J. D. POTTER, July'19",,,Admiralty Hydrographic,J. D. POTTER,,,"Admiralty Hydrographic. Irish Coast pilot 1911: Suppl. no. 5, 1919 J. D. POTTER, July'19",,,,July'19,
"Admiralty Hydrographic. Japan pilot, 1914: Rev. supp. (2), 1919 .POTTER, May '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Japan pilot, 1914: Rev. supp. (2), 1919 .POTTER, May '19",,,,May '19,
"Admiralty Hydrographic. Korea and Siberia East Coasts, and Sea of Okhotsk pilot, 1913: Suppl. no. 4, 1919.....J. D. POTTER, Aug. '19",,,Admiralty Hydrographic,J. D. POTTER,,,"Admiralty Hydrographic. Korea and Siberia East Coasts, and Sea of Okhotsk pilot, 1913: Suppl. no. 4, 1919.....J. D. POTTER, Aug. '19",,,,Aug. '19,
"Admiralty-Hydrographic. Mediterranean pilot Vol. 1, 1913: Suppl. no. 4, 1919 J. D. POTTER, July '19",,,Admiralty-Hydrographic,J. D. POTTER,,,"Admiralty-Hydrographic. Mediterranean pilot Vol. 1, 1913: Suppl. no. 4, 1919 J. D. POTTER, July '19",,,,July '19,
"Admiralty Hydrographic. Mediterranean pilot. Vol. 4, The Archipelago, with the adjacent coasts of Greece, Bulgaria, and Turkey; including also the 1sland of Crete or Candia. 5th ed., 5s. ..POTTER, Mar. '19",,,Admiralty Hydrographic,POTTER,5s.,,"Admiralty Hydrographic. Mediterranean pilot. Vol. 4, The Archipelago, with the adjacent coasts of Greece, Bulgaria, and Turkey; including also the Island of Crete or Candia. 5th ed., 5s. ..POTTER, Mar. '19",,,,Mar. '19,
"Admiralty Hydrographic. Newfoundland and Labrador pilot. Vol. 1, 1917: Supp., 1919. Vol. 2, 1917: Supp., 1919..POTTER, Apr. '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Newfoundland and Labrador pilot. Vol. 1, 1917: Supp., 1919. Vol. 2, 1917: Supp., 1919..POTTER, Apr. '19",,,,Apr. '19,
"Admiralty-Hydrographic. North Sea pilot, pt. 2, 1914: suppl. (4), 1919 J. D. POTTER, Oct. 19",,,Admiralty-Hydrographic,J. D. POTTER,,,"Admiralty-Hydrographic. North Sea pilot, pt. 2, 1914: suppl. (4), 1919 J. D. POTTER, Oct. 19",,,,Oct. 19,
"Admiralty Hydrographic. North Sea pilot. Pt. 4, 1909: Supp. (5), 1909 POTTER, June '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. North Sea pilot. Pt. 4, 1909: Supp. (5), 1909 POTTER, June '19",,,,June '19,
"Admiralty Hydrographic. Norway pilot, Pt. 1, 1918 Suppl. no. 1, 1919 J. D. POTTER, July '19",,,Admiralty Hydrographic,J. D. POTTER,,,"Admiralty Hydrographic. Norway pilot, Pt. 1, 1918 Suppl. no. 1, 1919 J. D. POTTER, July '19",,,,July '19,
"Admiralty Hydrographic. Notices to mariners, 1918. Index to, 3s. ......POTTER, Mar. '19",,,Admiralty Hydrographic,POTTER,3s.,,"Admiralty Hydrographic. Notices to mariners, 1918. Index to, 3s. ......POTTER, Mar. '19",,,,Mar. '19,
"Admiralty Hydrographic. Nova Scotia (S.E. coast) and Bay of Fundy pilot, 1911: Rev. supp. (3), 1919 POTTER, Mar. '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Nova Scotia (S.E. coast) and Bay of Fundy pilot, 1911: Rev. supp. (3), 1919 POTTER, Mar. '19",,,,Mar. '19,
"Admiralty Hydrographic. Oceanic depths received at the Admiralty, 1918: list. 1s. 6d. net ...... .J. D. POTTER, July '19",,,Admiralty Hydrographic,J. D. POTTER,1s. 6d.,,"Admiralty Hydrographic. Oceanic depths received at the Admiralty, 1918: list. Is. 6d. net ...... .J. D. POTTER, July '19",,,,July '19,net
"Admiralty Hydrographic. Pacific 1slands pilot. Vol. 2, (Central Groups), New Caledonia and Loyalty 1slands, New Hebrides Group, Banks, Torres, and Santa Cruz 1slands; Fiji, Tonga, Samoa, Ellice, Gilbert, Marshall, Phoenix and Union 1slands. 5th ed., 1918, 1OS. ... .... POTTER, June '19",,,Admiralty Hydrographic,OS. ... .... POTTER,,,"Admiralty Hydrographic. Pacific Islands pilot. Vol. 2, (Central Groups), New Caledonia and Loyalty Islands, New Hebrides Group, Banks, Torres, and Santa Cruz Islands; Fiji, Tonga, Samoa, Ellice, Gilbert, Marshall, Phoenix and Union Islands. 5th ed., 1918, 1OS. ... .... POTTER, June '19",,,,June '19,
"Admiralty Hydrographic. Persian Guif pilot, 1915 Supp. (4), 1919 .POTTER, May '19",,,Admiralty Hydrographic,POTTER,,,"Admiralty Hydrographic. Persian Guif pilot, 1915 Supp. (4), 1919 .POTTER, May '19",,,,May '19,
"Admiralty Hydrographic. South America pilot, Pt. 1, 1911: Rev. suppl. (3), 1919 J. D. POTTER, July '19",,,Admiralty Hydrographic,J. D. POTTER,,,"Admiralty Hydrographic. South America pilot, Pt. 1, 1911: Rev. suppl. (3), 1919 J. D. POTTER, July '19",,,,July '19,
