entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Abbott (Fant)-Can You Zancig? The Secret of Second Sight and Thought-Reading Divulged. Folded. 1s. net....... .SIMPKIN, Jan. 07",Abbott,Fant,Can You Zancig? The Secret of Second Sight and Thought-Reading Divulged,SIMPKIN,1s.,,"Abbott (Fant)-Can You Zancig? The Secret of Second Sight and Thought-Reading Divulged. Folded. Is. net....... .SIMPKIN, Jan. 07",Fant Abbott,['Abbott (Fant)'],,Jan. 07,1907,net
"Abbott (L.)-The Industrial Problem. (William L. Bull Lectures). 8vo. pp. 196, 3s. 6d. net DE LA MORE PRESS, Feb. 07",,,,DE LA MORE PRESS,3s. 6d.,,"Abbott (L.)-The Industrial Problem. (William L. Bull Lectures). 8vo. pp. 196, 3s. 6d. net DE LA MORE PRESS, Feb. 07",,['Abbott (L.)-The Industrial Problem. (William L. Bull Lectures)'],,Feb. 07,1907,net
"Abrahams (I.)-Judaism. 12 mo. 7× 41, pp. 116, 1s. net (Religions Ancient and Modern) CONSTABLE, June 07",Abrahams,I.,Judaism,CONSTABLE,1s.,,"Abrahams (I.)-Judaism. 12 mo. 7× 41, pp. 116, Is. net (Religions Ancient and Modern) CONSTABLE, June 07",I. Abrahams,['Abrahams (I.)'],,June 07,1907,net
"Accounts, Public, Committee. Index and Digest of Evidence, 8fd. ...WYMAN, May 07",,,"Accounts, Public, Committee",WYMAN,,,"Accounts, Public, Committee. Index and Digest of Evidence, 8fd. ...WYMAN, May 07",,,,May 07,1907,
"Accounts, Public, Committee: Reports, Pro- ceedings, Evidence and Appendix, 5s. 6d. WYMAN, Aug. 07",,,"Accounts, Public, Committee: Reports, Pro- ceedings, Evidence and Appendix",WYMAN,5s. 6d.,,"Accounts, Public, Committee: Reports, Pro- ceedings, Evidence and Appendix, 5s. 6d. WYMAN, Aug. 07",,,,Aug. 07,1907,
"Accounts, Public, Committee: Digest of Evidence 81d. .WYMAN, Nov. 07",,,"Accounts, Public, Committee: Digest of Evidence",WYMAN,81d.,,"Accounts, Public, Committee: Digest of Evidence 81d. .WYMAN, Nov. 07",,,,Nov. 07,1907,
"Act-Army (Annual), ijd. .WYMAN, May 07",Act-Army,Annual,,WYMAN,,,"Act-Army (Annual), ijd. .WYMAN, May 07",Annual Act-Army,['Act-Army (Annual)'],,May 07,1907,
"Act-City of London (Union of Parishes), 1s. 6d. WYMAN, Oct. 07",Act-City of London,Union of Parishes,1s,WYMAN,1s. 6d.,,"Act-City of London (Union of Parishes), Is. 6d. WYMAN, Oct. 07",Union of Parishes Act-City of London,['Act-City of London (Union of Parishes)'],,Oct. 07,1907,
"Act-Consolidated Fund (No. 1), jd. WYMAN, April 07",Act-Consolidated Fund,No. 1,,WYMAN,,,"Act-Consolidated Fund (No. 1), jd. WYMAN, April 07",No. 1 Act-Consolidated Fund,['Act-Consolidated Fund (No. 1)'],,April 07,1907,
"Act-Irish Land, 1903, d.....WYMAN, May 07",,,Act-Irish Land,WYMAN,,,"Act-Irish Land, 1903, d.....WYMAN, May 07",,,,May 07,1907,
"Act-Royal Insurance Company, 2s. 3d. WYMAN, May 07",,,Act-Royal Insurance Company,WYMAN,2s. 3d.,,"Act-Royal Insurance Company, 2s. 3d. WYMAN, May 07",,,,May 07,1907,
"Acts-Aberdeen Corporation Order Confirmation, s. 9d.; Burnham (Somerset) Pier, 1s. ; Elec- tric Lighting Orders Confirmation (No. 1), s. 3d.; Local Government Board's Provisional Orders Confirmation (No. 5), s.; Longton Con- gregational Chapel in Caroline Street Scheme Confirmation, 6d. ; Dundee Corporation Order Confirmation, 5s. 3d.; Pier and Harbour Order Confirmation (No. 4), 1s. 9d... WYMAN, Oct. 07",,,"Acts-Aberdeen Corporation Order Confirmation, s",WYMAN,1s. 9d.,,"Acts-Aberdeen Corporation Order Confirmation, IS. 9d.; Burnham (Somerset) Pier, Is. ; Elec- tric Lighting Orders Confirmation (No. 1), IS. 3d.; Local Government Board's Provisional Orders Confirmation (No. 5), IS.; Longton Con- gregational Chapel in Caroline Street Scheme Confirmation, 6d. ; Dundee Corporation Order Confirmation, 5s. 3d.; Pier and Harbour Order Confirmation (No. 4), Is. 9d... WYMAN, Oct. 07",,,,Oct. 07,1907,
"Acts-Board of Education Scheme (Hulme Trust Estates Educational) Confirmation, 9d.; Leith Burgh Order Confirmation, 6d. ; Local Govern- ment Board's Provisional Orders Confirmation (No. 13), 2s. 3d.; London County Council (Money), 1s. 6d.; South Wales Mineral Rail- way, s. WYMAN, Oct. 07",,,Acts-Board of Education Scheme (Hulme Trust Estates Educational) Confirmation,WYMAN,,,"Acts-Board of Education Scheme (Hulme Trust Estates Educational) Confirmation, 9d.; Leith Burgh Order Confirmation, 6d. ; Local Govern- ment Board's Provisional Orders Confirmation (No. 13), 25. 3d.; London County Council (Money), Is. 6d.; South Wales Mineral Rail- way, IS. WYMAN, Oct. 07",,,,Oct. 07,1907,
"Acts-Boston Spa Gas, 2s.; St. Neots Urban District Council, 2s. .WYMAN, Oct. 07",,,Acts-Boston Spa Gas,WYMAN,2s.,,"Acts-Boston Spa Gas, 2s.; St. Neots Urban District Council, 25. .WYMAN, Oct. 07",,,,Oct. 07,1907,
"Acts-Bristol Corporation, 6d.; Gas Companies (Removal of Sulphur Restrictions), 3d.; Tele- graph (Money), d.; Metropolitan Police Provisional Order Confirmation, 3d.; Medway Lower Navigation, 6d.; West Riding Tram- ways, 3d.... WYMAN, Aug. 07",,,Acts-Bristol Corporation,WYMAN,3d.,,"Acts-Bristol Corporation, 6d.; Gas Companies (Removal of Sulphur Restrictions), 3d.; Tele- graph (Money), d.; Metropolitan Police Provisional Order Confirmation, 3d.; Medway Lower Navigation, 6d.; West Riding Tram- ways, 3d.... WYMAN, Aug. 07",,,,Aug. 07,1907,
"Acts-Central London Railway, 1s. 3d.; Hull and Barnsley Railway, 1s. 9d. Llandrindod Wells Gas, 1s. 3d.; North Staffordshire Rail- way, 2s. 6d.; Brighouse Corporation, 3s. 3d.; Western Valleys (Monmouthshire) Sewerage Board, 1s. 9d.; Manchester Corporation Tram- ways, 2s. 6d.; Caledonian Railway Order Confirmation, 3s. 6d. ; Local Government Board's Provisional Orders Confirmation (No. 11), 2s. 6d.; Electric Lighting Orders Con- firmation (No. 3), 2s.9d. ..WYMAN, Nov. 07",,,Acts-Central London Railway,WYMAN,2s.9d.,,"Acts-Central London Railway, Is. 3d.; Hull and Barnsley Railway, Is. 9d. Llandrindod Wells Gas, Is. 3d.; North Staffordshire Rail- way, 2s. 6d.; Brighouse Corporation, 3s. 3d.; Western Valleys (Monmouthshire) Sewerage Board, 1s. 9d.; Manchester Corporation Tram- ways, 2s. 6d.; Caledonian Railway Order Confirmation, 3s. 6d. ; Local Government Board's Provisional Orders Confirmation (No. 11), 2s. 6d.; Electric Lighting Orders Con- firmation (No. 3), 2s.9d. ..WYMAN, Nov. 07",,,,Nov. 07,1907,
