entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"Aberdeen University Finances, Report. 41d. WYMAN, Apr. 06",,,"Aberdeen University Finances, Report",WYMAN,41d.,,"Aberdeen University Finances, Report. 41d. WYMAN, Apr. 06",,,,Apr. 06,
"Aberdeen University: Statistical Report. 1d. WYMAN, Apr. 06",,,Aberdeen University: Statistical Report,WYMAN,1d.,,"Aberdeen University: Statistical Report. 1d. WYMAN, Apr. 06",,,,Apr. 06,
"Abertillery Urban District. Medical Inspector's Report. 8d.. ..WYMAN, Apr. 06",,,Abertillery Urban District,WYMAN,8d.,,"Abertillery Urban District. Medical Inspector's Report. 8d.. ..WYMAN, Apr. 06",,,,Apr. 06,
"Accidents, Notice of, Bill. Committee's Report. 14d.............. ..WYMAN, Apr. 06",,,"Accidents, Notice of, Bill",WYMAN,14d.,,"Accidents, Notice of, Bill. Committee's Report. 14d.............. ..WYMAN, Apr. 06",,,,Apr. 06,
"Acreage and Live Stock Returns (Agriculture), 1906. 5d. .WYMAN, Dec. 06",,,Acreage and Live Stock Returns (Agriculture),WYMAN,5d.,,"Acreage and Live Stock Returns (Agriculture), 1906. 5d. .WYMAN, Dec. 06",,,,Dec. 06,
"Act-North Berwick Corporation Order Confirma- tion. 1s. 9d....... .WYMAN, Aug. 06",,,Act-North Berwick Corporation Order Confirma- tion,WYMAN,1s. 9d.,,"Act-North Berwick Corporation Order Confirma- tion. 1s. 9d....... .WYMAN, Aug. 06",,,,Aug. 06,
"Acts-Bacup Corporation, 2s. 9d.; Cork City Railways, 4s.; Intoxicating Liquors (Ireland), d.; South Lincolnshire Water, 2s. 6d. ......... WYMAN, Dec. 06",,,Acts-Bacup Corporation,WYMAN,2s. 6d.,,"Acts-Bacup Corporation, 2s. 9d.; Cork City Railways, 4s.; Intoxicating Liquors (Ireland), d.; South Lincolnshire Water, 2s. 6d. ......... WYMAN, Dec. 06",,,,Dec. 06,
"Acts-Corporation of London (Blackfriars and other Bridges) 2s. 9d.; Watford and Edgware Rail- way, 1s.; Haslingden Corporation, 4s. 9d.; War- bays (Union of Districts) Drainage, 2s. 6d.; St. Pancras Electricity, 6d.; Hackney Electricity, 6d.; Cardiff Gas, 1s. 9d.; Newport Corporation, 1s. 9d.; Newtownards U. Council, 1s. 9d.; South Wales Electrical Power Distribution Company, 18.; Manchester Corporation, 9d.; London and North-Western Railway, 1s. 9d.; Great Central and Derbyshire Railways, 2s. 9d.; Lancashire Electric Power, 1s. 3d.; County of Durham Electric Power Supply, 1s. 3d.; Rochester, Chatham and Gillingham Gas, 1s. 3d.; South Western Railway, 2s. 6d. .WYMAN, Nov. 06",Acts-Corporation of London,Blackfriars,,WYMAN,2s. 6d.,,"Acts-Corporation of London (Blackfriars and other Bridges) 2s. 9d.; Watford and Edgware Rail- way, 1s.; Haslingden Corporation, 4s. 9d.; War- bays (Union of Districts) Drainage, 2s. 6d.; St. Pancras Electricity, 6d.; Hackney Electricity, 6d.; Cardiff Gas, 1s. 9d.; Newport Corporation, 1s. 9d.; Newtownards U. Council, 1s. 9d.; South Wales Electrical Power Distribution Company, 18.; Manchester Corporation, 9d.; London and North-Western Railway, 1s. 9d.; Great Central and Derbyshire Railways, 2s. 9d.; Lancashire Electric Power, 1s. 3d.; County of Durham Electric Power Supply, 1s. 3d.; Rochester, Chatham and Gillingham Gas, 1s. 3d.; South Western Railway, 2s. 6d. .WYMAN, Nov. 06",Blackfriars Acts-Corporation of London,"['Acts-Corporation of London (Blackfriars)', 'Acts-Corporation of London (other Bridges)']",,Nov. 06,
"Acts-County of Aberdeen (Monymusk Bridge and Road), 9d.; Cathcart District Railway (Superfluous Lands), 3d.; Metropolitan Police Provisional Order, 8d. ............ WYMAN, July 06",Acts-County of Aberdeen,Monymusk Bridge,9d,WYMAN,8d.,,"Acts-County of Aberdeen (Monymusk Bridge and Road), 9d.; Cathcart District Railway (Superfluous Lands), 3d.; Metropolitan Police Provisional Order, 8d. ............ WYMAN, July 06",Monymusk Bridge Acts-County of Aberdeen,"['Acts-County of Aberdeen (Monymusk Bridge)', 'Acts-County of Aberdeen (Road)']",,July 06,
"Acts-Education Board Provisional Orders Con- firmation (Devon, &c.); Local Government Board (Ireland) Provisional Orders Confirmation (No. 8). 6d. each .WYMAN, Aug. 06",,,"Acts-Education Board Provisional Orders Con- firmation (Devon, &c",WYMAN,,,"Acts-Education Board Provisional Orders Con- firmation (Devon, &c.); Local Government Board (Ireland) Provisional Orders Confirmation (No. 8). 6d. each .WYMAN, Aug. 06",,,,Aug. 06,
"Acts-Extradition, d.; Justices of the Peace, 1d.; Millwall Dock, 8d.; Knott End Railway, Exten. of Time, 3d......... .WYMAN, Aug. 06",,,"Acts-Extradition, d",WYMAN,3d.,,"Acts-Extradition, d.; Justices of the Peace, Id.; Millwall Dock, 8d.; Knott End Railway, Exten. of Time, 3d......... .WYMAN, Aug. 06",,,,Aug. 06,
"Acts-Fertilisers and Feeding Stuffs, 14d.; Public Works Loans, d.; Local Authorities (Treasury Powers), d.; Appropriation, 24d.: Open Spaces, 2d.; Crown Lands, 1d.; Colonial Marriages (Deceased Wife's Sister), d.; Antofagasta (Chili) and Bolivia Railway Company, Ltd. (Conversion of Stock), 9d.; Dover Harbour Board, 3d.; Crystal Palace Company, 6d.; Bethnal Green Borough Council (Superannua tion), 1s.; Kidderminster Gas, 1s. 6d. Acts-Great Northern Railway, 2s. 6d.; Peter- WYMAN, Aug. 06",,,Acts-Fertilisers and Feeding Stuffs,WYMAN,,,"Acts-Fertilisers and Feeding Stuffs, 14d.; Public Works Loans, d.; Local Authorities (Treasury Powers), d.; Appropriation, 24d.: Open Spaces, 2d.; Crown Lands, 1d.; Colonial Marriages (Deceased Wife's Sister), d.; Antofagasta (Chili) and Bolivia Railway Company, Ltd. (Conversion of Stock), 9d.; Dover Harbour Board, 3d.; Crystal Palace Company, 6d.; Bethnal Green Borough Council (Superannua tion), 1s.; Kidderminster Gas, 1s. 6d. Acts-Great Northern Railway, 2s. 6d.; Peter- WYMAN, Aug. 06",,,,Aug. 06,
